,Recent headlines and conversations for SBUX,Polarity
2514,"Went ino a Shitdunkin the other day,it was",0.1594
2515,SHORTED AT 80.75 DO IT GUYS DO IT,0.6779
2516,Should I get $105 calls for March?,0.0727
2517,$RWBYF vs $PLUG 4 years ago $PLUG announced $AMZN Will $RWB announce $SBUX Partnership in 2022 ?,0.6064
2518,"The $3000 I invested in SBUX in 1993 is worth $257,000 today. I've followed key numbers along the way: revenue growth, earnings growth, same-store-sales growth, trailing and forward p/e ratios. The last 3 years the stock went sideways but kept pace with valuation as growth slowed and trialing p/e came down to match. The numbers I use value the stock at $71-73, but China growth concerns suppress demand. If Starbucks hits expectations next Thursday look for it to break $70. And if next quarter stays the course look for $78. If and when China goes throttle-up watch p/e and a return to 20% y-o-y growth. The 2% dividend makes it easier, too. When rev growth is 10% and earnings growth is 20%, trailing p/e 29+/- 2, forward p/e 23+/- 1, SBUX was making its 20% yoy gains. Last spring I sold my house due to divorce and put another $170,000 on it at $55.60. Now worth $199,292, that's up 17.2%. Starbucks is a feelgood cheap luxury. I shake my head at the haters who feel it necessary to lie about the price of a cup of coffee and trashtalk the taste and the brand and the people who like the place. It's a great American brand and icon known around the world. Yes, SBUX is counting on China to take the baton and yes, the hand-off is suffering a lull, but hang in there. Watch those numbers. And ride the wave where it takes us. Think about supporting Howard Schultz for POTUS; he'll patch things up with China, unite the world, and SBUX will carry us smoothly into retirement.",0.997
2519,"they closing the stores, laying off workers - so they can concentrate serving their new toilet business better.",0.185
2520,"How come starbux, a brick and mortar store, do so well during the pandemic?",0.0393
2521,"I bought in the 40's. These days I'm using making a little pocket change writing covered calls on a third of my position. Nice way of making a few hundred bucks every other month, plus if its called away I still own 2/3 and can sell a put to the few hundred back at under market costs, or make the same few hundred bucks.",0.8363
2522,116 comin back soon!!,0.3846
2523,Starbucks reached a 52 Week high at 97.55,0.3561
2524,Historical average PE for SBUX is 30 and today It's trading at a PE of 108 that's over 3x average,0.6337
2525,"Hey Kenneth, _________________________________________edlast monthCHART REVEALS A DEFINITIVE BREAKOUT STAY TUNED AND WTCH UP VOLUME FIGURES!!!_________________________________________So now you're into my core pharmaceutical stock are you son? Tell me, what do you think about the performance of the spin-off company? I look forward to your insight which will not be forthcoming. I'll be ""wtching"" for your reply.",0.9715
2526,CEO is,0.2139
2527,Hey I think SBUX is popping to 60 or 70 today. Just dreaming ok folks?,0.5782
2528,The Long Bet: How Starbucks has rewarded long-term investors https://uk.finance.yahoo.com/news/long-bet-starbucks-rewarded-long-124400144.html,0.7513
2529,So many childish posts trying to run down SBUX stock. Listen guys.. No institutional investors are on yahoo.. They are all busy making real money. Only retail investors on yahoo forums.. Go take your idiotic posts back to kindergarten,-0.4848
2530,"$DNKN up, $SBUX down. Makes sense to me.",-0.1479
2531,"Howard Schultz was heard whispering in the background on the conference call: ""next year we're only hiring muslim refugees and no Christians under any circumstances""",0.6688
2532,"At 9:30 Monday morning, All Starbucks long dreamers will tuck their heads deep into their laps and say goodbye to the first thing they see.",0.0456
2533,"This company is the first to blur the lines between restaurant and restroom, whereby the restaurant becomes the restroom, and the restroom becomes the restaurant",0.2008
2534,$45 is where this is going,0.0183
2535,"Any hungry lawyers out there? I’m looking for class action status. Starbugs coffee sold at grocery stores used to offer a free cup of coffee at a Starbucks when you purchased a bag of coffee at the grocery store. These bags had no expiration date. Now, Starbucks will no longer honor them.",0.9373
2536,Huge lines at Starbucks to pick up pre orders today,0.7009
2537,Boycott Starbucks,-0.3182
2538,"it was THAT barista's decision to ask the police to leave, not Starbuck's policy. discipline that barista, apologize to the police dept, donate to the police dept, give them some gift cards.",0.7294
2539,100 soon!!!,0.2216
2540,Liberals love coffee,0.6544
2541,$100+ coming soon,0.0548
2542,Market crash coming Mexico deal = No Fed rate cut. Market rallied on hopes that Powell would cut rates if more tariffs went in place. Brace yourselves.,-0.649
2543,"Down 9 ,10% this is what PC employee CEOs do to shareholders and employees when they use a company that is not theirs to incorrectly impose thier personal agendas on others. The CEOs should apologize publically to every shareholder and employee in the company. As well as their customer base if anyone still goes to starbucks aside from those not buying anything, but using the building as a personal office and meeting place as well as a free bathroom.",0.9393
2544,What time to they report earnings tommorow??,0.2959
2545,Starsucks this week but I am positive this is an awesome company and will recover in no time,0.8724
2546,I see a few new stores in California and Washington state and the folks are waiting in line - in their cars even. . It doesn’t matter that there’s Woods coffee in Washington — Tim Hortons is in Canada.. But Starbucks is the juice that fuels.,0.2303
2547,First attempt at the 50 DMA was rejected as expected. Will there be another attempt today? I think so. Will it get through? Not today.,-0.575
2548,Congrats if you were buying in March when Ackman bought.,0.693
2549,Wonder how much this dips tomorrow so I can get in cheaper before $100,0.2209
2550,Sargeant Schultz says nothing's wrong and you should buy.... LOL,0.2639
2551,pumpkin spice latte boosted sales FAR more than predicted. thinking 5% jump after earnings released.,0.7149
2552,"We hit $100, don’t stop now! Lol",0.2576
2553,SBUX reached an all time high at 96.46,0.3228
2554,"SBUX can rise to $250 per share in 3years, because SBUX coffee can keeping HUMAN'S healthy, SO SBUX can get at least 25percent medicine market, such as: foot smells medicine, mouth smells medicine, stomach gas distress medicine, skin medicine, reduce fat medicine, energy medicine , SO SBUX sales have huge space to growth,",0.9454
2555,Sbux having to close stores in China. Also suppliers not receiving goods from China. They say they are going to hit back. Where is the growth of SBUX.,0.7432
2556,$80 tomorrow!,0.0775
2557,RUN SCHULTZ RUN !!!! Making DEMONCRAPS pihzz themselves just thinking about it !!,0.7558
2558,“You had me at expresso...”,-0.0068
2559,trades at ~60x P/E ... this has more room to fall,-0.3624
2560,Don't forget Howard voted for Crooked Hillary. http://money.cnn.com/2016/09/07/news/economy/howard-schultz-hillary-clinton/index.html,-0.2138
2561,"Would love to know if Golman, who is in charge of selling LK....is talking with Starbucks for a piece. They could end up owning half of the company cheap.",0.8951
2562,Can’t wait to buy this around 30!,0.2226
2563,Dunkin up today but not starshits. Sorry loser fonz ur 1 share lost $.,-0.527
2564,Is sbux nose-diving or surging after today's earnings report? Thumbs up for surging and thumbs down for nose-diving. Take your vote!,0.477
2565,"from the sign of pre market, it seems like SBUX will continue to be bullish for awhile.",0.6535
2566,starshits the worse tasting coffee ever. No wonder Dunkin ahead.,-0.6912
2567,Teavana is a disaster. Might take down the company. Great idea Howie.,-0.1583
2568,Final 20 minutes turn green!,0.2689
2569,We should raise prices. It is a drug and the price increase will stick.,0.6749
2570,"OK, someone is stealing from the tip jar. Every Starbucks I have seen has a line around the building. One of the longest lines I have seen at Disney World and Universal Studios...Starbucks. You would think it was one of their popular rides. Given I am in Florida, but gift cards over the holidays and deliveries should have made up some of the lost profits...Oh well, I love Starbucks...I guess this is a bigger buying opportunity.",0.9807
2571,we got one for Christmasmy days of waiting at Starbucks are overhttps://www.surlatable.com/esspresione-concierge-automatic-bean-to-cup-espresso-machine/PRO-4706594.html?irclickid=whU1RJ13fxyLWF%3AxU-SAVSQkUkEy5IyVR2pDwE0&irgwc=1,0.2162
2572,time for a stock split again?,0.3749
2573,"Mark ; You Are Right , Very Soon Starbuck's , Will Be $200.00 , A Share , Not Long Ago It Was Priced At $11.00 A Share , And A Lot Of People Said , That Is A Lot Of Money , And , Starbuck's ,Is On It's Way To $200.00 , I Love Starbuck's , 2.5% , Safe Great Dividend's ;",0.9576
