,Recent headlines and conversations for LOW,Polarity
1306,"I cannot vision Lowes beating ER. LOW ends 4Q in Jan 31. so therei 4th Q had the entire Govt Shutdown and the beginning of the Polar Vortex that hit the Midwest. As a real estate investors, I have been in the sideline due to the uncertainty. I am not the only one. REal Esate agents I have been in contact with state homes are sitting on the market longer and listing prices have been decreases. The only thing going for it now is that Rates have pulled back. Deals are harder to come by. (Yes this is market specific).not to mention that going forward, most Americans are not getting the Tax refund they anticipated. they did not realize that their pay checks were marginally larger. Yes I took a short position in LOW, unless someone can convi\nce me otherwise. I applied this logic to Walmart as well but Walmart actually does better in bad times, like the Govt Shutdown.",-0.3734
1307,"Let me get this straight, the new Lowe’s CEO who brought JCP to bankruptcy levels, on top of that top 5 Lowe’s executives get fired, including the COO within the months of taking the job at Lowe’s; I’ll give it a year for this guy before he gets booted. The stock has been up from the $40s to $110 in five years and they bring this joker? Down from here, $65 at best on a good day. Short with confidence my friends.",0.9485
1308,Buy now. It will go up at least 5 dollars tomorrow. It’s a great stock. With hosing asked sky rocketing. The revenue will be great by next quarter. Bargain price at this point. Too bad l have all my funds tied up at Google and LI. Only got myself 200 shares. Don’t miss your chance.,0.954
1309,"This new CEO, Investor Ackerman and certainly Earnings Report. Does not justify this Stock moving up over 10% today. I smell a rat. Shorties will soon make big bucks.",0.8472
1310,DAMN MARKET MAKER HE IS TRICKY,-0.39
1311,The chart looks real bad. Looks like it will test 90 in the near future.,-0.1878
1312,Did they bring niblock back today?,0.1665
1313,"dsc retired from LOW's as a major stockholder. Sold a bunch of equipment through the years, from snow blowers, rakes, lawn mowers and seeds. Dsc sitting on his porch now watching people go to work.",0.3639
1314,Best stock to own throughout 2018,0.7438
1315,TAKE YOUR PROFIT IM TELLING U THIS WONT GO DOWN MUCH MORE IF U THINKING COVER WHILE U CAN,0.7305
1316,$200 by EOY,0.4088
1317,"600,000 people have registered for assistance with FEMA in Texas. Long lines at Lowe's.",0.4825
1318,"Super Lowes,Exit Australia in 2016, 900 millions lost.Exit Also Mexico.Close a chain of store they bought on California, 300-400 millions lost.Took a write-off of 1.2 milllions on Rona acquisition and probably more to come.Candian president and vp operation left a week ago.Give 20 % off from thursday to monday each week in Canada.Look like Sears model.Good Luck!",0.9174
1319,i spy a red doji,-0.2559
1320,DONT GO UP DONT GO UP DONT DONT,0.6406
1321,Trump doing what he promises. Sealing US borders from terrorist.,-0.32
1322,LOW execs racist comments will prove harmful. Many Hispanics are planning to boycott them and take their business to HD. Would hate to be holding this when the alleged boycotts start. https://www.usatoday.com/story/money/2019/08/27/smaller-hands-lowes-exec-touts-drill-perfect-hispanics/2132659001/,-0.937
1323,"Goldman Sachs says Texas disaster will add 30 billion to the GDP in construction and repairs. And Lowes drops .50 percent??. Do you suppose they have to ""see"" with their own eyes the damage when the water recedes? Clearly material is going to be needed and Lowes is a good neighbor and business in Texas that should be rewarded in stock upgrades and purchases. But is this manipulated to reduce value for hedge funds?",-0.2523
1324,How many groundless sell-offs should we endure before it pops to $170+. Buy now or be sorry later!,0.1236
1325,WATCH IT,0.1782
1326,Lowe's Companies reached an all time high at 160.50,0.3228
1327,"Expectations beat, Earnings beat.STOCK DROPS?NANI?",0.3591
1328,Anyone think it will hit $115 in the next few months?,-0.1017
1329,should see 113-114 close,-0.0149
1330,LETS SEE IF WE CAN TAKE IT DOWN LIKE YESTERDAY,0.2407
1331,Pricey...for slowing housing,-0.1868
1332,Need to go back $ 98.50 today or we are in troble,0.109
1333,we just need the market to pick up from here and this thing we fly back to 52week high. expect lowes to reach 200 late 2019. holding this stock and adding more,0.8289
1334,"Check again, after hours is now flat. Don't trust pre or after market stuff.",-0.4383
1335,Target $185==strong buy!,0.1336
1336,what has happened to this stock?!?!?!?!,0.5154
1337,Is it still safe to get in on Lowe’s before earnings?,0.5417
1338,golden cross on the way,0.3269
1339,Told you all Marvin Ellison is the Kiss of death for your stock and employees. Look what he did to JC Penneys prior and other positions before that one...,0.5326
1340,DONT SELL BUY GUYS AND SHORT COVER COVER COVER,-0.381
1341,"The forward P/E ratio is 17 now. Cheaper than HD, WMT and TGT.I thought this was a really good earnings report and I am a buyer. 30% revenue growth is amazing.",0.8532
1342,"Why can't lowes give it's full time employees Set hrs dsc20601 If lowes wants to be #1 for home improvement, keeping full time workers with knowledge & giving them set hrs, would really increase market share for the company. I love my job, but I am looking, only because the daily change in hrs creates great stress for myself & family.",0.9607
1343,why are we down?,-0.177
1344,AT 1130 WHEN EUROPEAN CLOSE IT WILL SHOOT UP WATCH,-0.4952
1345,div yield is falling big time today!,0.2307
1346,Hurricane money coming in...Lowes cost cutting starting to finally pay off to share holders.,0.3127
1347,"Stores are empty. Shelves are empty. Too many mistakes taking place right now to cover up.This thing is going to collapse in a big, big way. Talk to anyone who is still employed.",-0.6624
1348,My cost average is now $38.21....Strong Buy & Hold.,0.2978
1349,It takes more than a CEO to make a good company.,0.6543
1350,"I honestly think HD misses 1q revenue based on: reduced hours to 6pm for most of quarter, limited # of customers who could shop at one time (100 @ a time, then line qued outside. Think Pro's liked uncertainty of entry lines? On the contrary, Lowe's picked up the 6p-9p traffic and didn't alter customer entry in majority of locations. During today's noon hour on CNBC, a guest fund managers cited HD traffic data running near a 10% increase for 1Q, while Lowe's ran 20% increase in traffic (unsure of their source.) We all know both have had packed parking lots. Can't underestimate impact of 20% traffic increase on your top-line.How will extra costs/covid expenses impact earnings? No ideaExpecting Lowe's to post a jaw dropping top-line and outperform HD's YOY 1q comps.We will see if I'm right, in the next 36 hours.(I own LOW)",0.9806
1351,Buying the dip. 161 is a bargain now. This stock is going back to 180 once the smoke of the political atmosphere and the virus lets up.,0.8438
1352,WE ARE DOUBLE THE VOLUME ALREADY,0.4991
1353,how can I get approved to buy options?can some one help me,0.8083
1354,SELL THIS LOSER! CEO RAN JCP INTO THE ground!!!,-0.6677
1355,My only problem with LOW is that the dividend is nowhere near HD. I just sold 300 shares and bought 500 of ABBV which has a way better dividend at a much lower pps.,0.1385
1356,THATSS WHY I SHORTED HE IS A MORON,-0.2933
1357,D.E. Shaw already making changes. Stock up pre-market.,0.3432
1358,can't understand why this did not fly up 3 or 4 points with Hurricane Irma mess,0.0448
1359,"Way pricy now, like ALL stocks",0.1896
1360,Lowe's Companies reached an all time high at 169.14,0.3228
1361,housing collapse initiated.,-0.4472
1362,Bought more today. LOW is cheap here. Buy every dip.,0.2777
1363,"Why with a black president do we still have affirmative action? Im 49 fully employed, been trying since I was 23 to get a govt job, also I have 4yrs of college ,with no felonies. Is it because im a white male, that I cant get a govt job?",-0.5189
1364,Bought 50 shares today!! Love this stock!!!!,0.8385
1365,"Lowes essential business will stay open and is a consumers paradise during the pandemic, lowes is collecting all of the suburbans vacation money this year and will hit $150 a week before earnings - get in !",0.5989
1366,Careful when the institutions yank the rug out this will fall fast and hard leaving many holding the bag,-0.0473
1367,Guys on Fast Money tonight said LOW is a Buy!!!,-0.5115
1368,Added @ $76.54 to IRA,0.587
1369,This will have a huge sell off tomorrow no one in their right mind will hold this into a long holiday weekend where 1 tweet can send it crashing down. Always lock in those profits. Silver & Gold are way up and LOw is being propped up by computer algorithms not retail buyers.,0.8555
1370,IT WILLL COME DOWN BE PATIENT,0.0545
1371,IM GOING 50K SHARES TO PUSH IT ABOVE 117,0.7632
1372,https://www.stockmetrix.net/blog/post/082218/home-depot-remains-better-value-lowes?t=yfgau,0.0
1373,I think we will see a new high by the end of October!,0.3116
1374,"HEY SHORTS, read this:https://www.marketwatch.com/story/homebuilder-stocks-are-a-buy-now-2019-10-18",0.6101
1375,"Low and HD should be trading at the same PE as other consumer cyclicals, which is around 18-20.",0.1793
1376,"Congrats fellow longs. it hasn't been easy holding lately, but here we are with a solid beat. enjoy the day",0.8908
1377,lows layed off 2400 x 65000.00 = buy stock back = price of stock going up $$$$$$,0.5497
1378,Lowe's Companies is down 5.01% to 98.81,-0.2462
1379,116.80 IS RESISTENCE COVER GUYS COVER,-0.6006
1380,Went to Lowes this weekend. Packed couldn’t even find a shopping cart.,0.5156
1381,"huge volume, big guys are taking their profits. Hope it will reverse tomorrow just like HD.",0.8893
1382,I was hoping for a reversal of the month long down trend today. Looks like it is going to be a long slog back up to the 170s. GLTA,0.9387
1383,"The new tax plan is going to reduce potential income to HD and Lowe's by Billions with a capital ""B""",0.1467
