,Recent headlines and conversations for GRUB,Polarity
1712,"This is ""fake news"" cooked up by the fundies and insties and the likes of Cramer and Co. The only reason GRUB went up from $30+ in November and $30 in April was BECAUSE they were talking to Uber about merger / acquisition. Uber may have been interested in merger in low $30s, but nobody sane will buy GRUB anywhere near $60.Cities like NYC are cracking down on delivery fees from restaurants. Doordash has 42% market, GRUB has 28%, UBER has 20% - GRUBER would have nearly half the market - there is a clear antitrust issue here that wouldn't resolve quickly anyway, and UBER's new debt raise of $750M doesn't even start to buy GRUB at $6B valuation - more likely is the play for much smaller Postmates... at which point GRUB will crash.",0.7285
1713,If u don’t believe me check out ULTA and many others. Patterns are a little different but RSI and price targets are the same on dead cat bounces. The gaps don’t fill right away or even 50% after huge impulses down.,-0.1166
1714,"Go figure, they never have drivers, uber eats is killing em",-0.4779
1715,Could breakout to the upside anything can happen but if you idiots keep counter trend trading you’re going to lose. The pattern is bearish. The trend is bearish. Bears favored.,-0.7619
1716,GrubHub reached a 52 Week high at 75.47,0.3561
1717,"""By some estimates, Americans spend $200 billion a year on takeout meals. That’s a lot of chips and guac—and almost no profit for the companies doing the delivery."" PER A NEWS ARTICLE",0.865
1718,Here we go!,-0.0932
1719,wtrh is better buy,0.53
1720,Ouch! Big hit for y’all!,-0.5613
1721,GRUB is up 6.10% to $81.49,0.1818
1722,"Bloomberg says a price has been agreed, but they that Grub wants a large break-up fee on the deal. Those are cash, not stock, so we will see what Uber decides to do. They spent 3.1 billion half in cash on Careem last year, and that hasn't worked out. Adding to a delivery business that Dara said last week is losing 300 million per quarter, ebitdac, (""c"" for Covid) so what? 500 million GAAP in losses seems insane, but when your main rides business falls by 80+, I guess the decision is to dilute Uber stock to take out a competitor and see what the regulators choose to do.",0.5915
1723,(TOPS) IS MOVING UP!,0.5512
1724,with all of the quarantining going on why is GRUB losing market share? Shouldnt it be taking off to higher levels???,0.3168
1725,after hours just hit 64. news must be out.,0.2501
1726,UBER: Stifel Nicolaus Boost Price Target Buy $60.00 ➝ $65.00,0.6341
1727,Up 8% on heavy volume with the market down 7%. Chanos has likely started to slowly cover the short position,-0.6755
1728, WARNING. $45 open tomorrow morning.,-0.5159
1729,This stock is gonna be $75 when sale is complete by July 2021 - come get your 20% #Arbitrage,0.2644
1730,The bounce is past its apogee. The stampede to the twenties and below is beginning.,-0.5281
1731,GRUB is down -6.90% to 94.16,-0.2462
1732,GrubHub is up 4.96% to 62.97,0.1818
1733,Time to short Grubhub. I'm for sure not buying anything from them.,0.2775
1734,is the price 70 or 80?,0.0574
1735,I would never do business with such a hateful CEO who tells his hard working staff to quit over their political views. Is this even legal?,-0.4988
1736,well you short sellers seem so angry lol,-0.4249
1737,GRUB should hit 100 next week,0.0725
1738,hang in there longs this is wayyyy. over done,0.1375
1739,Never ever buy a stock that caters to moron Gen Xer's.,-0.2922
1740,SHORTED GRUB HELL YEAH SHORTED BIG BIG BIG HELL YEAH I SHORTED MORE NIRE,-0.5107
1741,91$ filled,0.0
1742,SF is losing his mind now because he is losing all his money,0.3365
1743,Hapoy I sold at 68. Might jump back in around 47,0.1811
1744,GRUB is up 7.12% to 74.75,0.1818
1745,Why would shorts start to cover on December 30th when they can wait till January Second and this stock drops 20%?,0.5422
1746,I'm lucky the market makers and shorts have held this up. They have saved me 8-10 dollars per share.,0.8649
1747,"buying another position now, this thing has been a rocket ship, no worries it's a gift",0.6925
1748,"Damn, a 1K PE ratio? At least positive earnings I suppose...I wouldn’t go long in this though...I only follow because I deliver as side gig.",0.6645
1749,Talked about bankruptcy,-0.2019
1750,WTH why is this one down today?,-0.5832
1751,"BAD NEWS for GRUB.......Uber makes takeover offer for GrubHub, but both sides remain at odds on pricePUBLISHED TUE, MAY 12 202010:59 AM EDTUPDATED 8 MIN AGO",0.5206
1752,"I'm a prime member but I find it a little silly the way folks are linking the acquisition of Whole Foods to the demise of Grubhub. If it's that related, and Amazon starts spamming with meal ideas instead of product ideas. Hmm, I'll probably switch over to buying my products from Walmart. Today I went looking for the Amazon Restaurant app in the App Store and only found Amazon Prime Now. After opening that app they tried to sell me a box of cereal. Not exactly the meal I'm looking for when I open GrubHub. In fact, I don't consider that competition for GtubHub but can clearly see a link to Whole Foods and competition for local grocery stores. Which are probably the real ones the analysts should be worried about.",0.9645
1753,"The proposed combination of Uber and Grubhub could generate $300M to $1.8B in synergies to combined adjusted EBITDA in 2021, UBS estimates, coming on top of the $150M in anticipated Grub adjusted EBITDA at that time.",0.1008
1754,who bought yesterday?/ good luck//,0.4662
1755,"I finally got a full position completed at $50. I can't believe people are chasing a $20 stock at $50. Retail investors certainly believe there's going to be a ""V"" recovery but it won't be one to be seen.",0.4419
1756,"Love all of the shorts on here today trying to talk down the stock. Stock got hit yesterday due to Mr Slime Ball, Jim Chanos, and his orchestrated spot on CNBC. Q1 is going to be awesome and very profitable...and can't wait to hear the upside projections GRUB has for Q2, FY2020. Are we at $100 yet?",0.9356
1757,Target announced going same day delivery. How are they going to do it!!??,0.6806
1758,I'll be watching GRUBBY stock on Monday. See how much cash he lost for the company and stock holders. Temper temper Mr Maloney. Wow I'm Irish too how sad................,0.0222
1759,"Delivery Fee / Service Charge Way Too Expensive / RIPOFF, Delivery Time too Long, & Mishandled Food / Cold Food is Delivered. Not Worth the Hassle !!! Delivery Drive make soooo LITTLE $$$ too !!!!!!!!!!!!!!",0.9537
1760,GRUB reached a 52 Week low at 31.78,-0.1464
1761,"Sold Short GRUB at $70.58 a little while ago. This is a Pure Earnings Short Sell. I am expecting a weak ER in a few minutes, to ber followed by an immediate and significant sell-off in the AH session and tomorrow. This stock is grossly over-valued and has a terrible business model that can be easily duplicated by anyone. GRUB should be trading sub $60.00 right now. I think a 5-15% haircut is quite likely tomorrow and I am very happy to be Short this Bloated Baby. :-)",-0.6123
1762,Uber hostile take over of this stock. Buy out will be less than 50.00 a share.,0.2609
1763,"Word on the street is that a big player, maybe Amazon, is eyeing a higher bid for GRUB. We’ll see",0.7116
1764,Keep an eye on CRSMNewest stock to benefit from COVID-19YouSmartt app launch for house call and house delivery servicesBroke through 200 Day MA on strong volume$APRN $WTRH $GRUB,0.9399
1765,"and benzinga guys are saying if grub refuses 7 billion or uber won't pay it they are guessing uber offers next best easiest acquisition of 1.5 to 1.9 all stock offer for wtrh. They'll strengthen it and beef it up everywhere and run it as waiter till the combine it when it's a seamless fit for uber eats combined. Waitr has 20,000 employees and is huge in certain areas and the midwest. Makes sense also as wtrh employees have been buying stock in the open market and bragging to friends they are going to be rich. Also mr. Market maker last 2 days giving away calls in may and June but real stingy in july and October calls every strike available. With so many eyes on wtrh a blast up of 4 dollars or more is likely. A friday pop gives him huge head start and gains to try to leave out newbies that didn't know what they had and sold last 2 days.",0.9715
1766,"Grubhub uninstalled. Besides, it's nicer to save your local restaurants the fee and order from them directly.",0.8766
1767,"Wish I bought more puts... the CEO said it all - this sector is a race to the bottom. Uber and Amazon both have the cash to burn and all of the users they need to keep taking share from GrubHub, Doordash, Caviar, etc.",0.9085
1768,There we go!!!,0.3354
1769,"so....morning we will have very bad earning report. Some say, the forecast will be so good, so good, that stock will rise. ( $ )I believe it ! BUT I will remain short !",-0.6347
1770,"These sob's upgrade to a strong buy based on what, no one knows just the day before earning. Millions rely on their opinions as the ordinary folks often have no idea about a company. These skrs caused the ordinary people a lot, haven't they. My suggestion is, don't rely on these garbage, do ur own research, most importantly, don't buy any stock based on earning outcome, just stick with the good companies u believe in and with positive track records. Money is not easy to make. I think it's the best idea to buy the index funds like S&P-500, Nasdaq, Dow and Russell-2000. Slowly but ""SURELY"" they will rise over time. Everything else is a looser long term for the ordinary traders or investors, what say u?",0.9373
1771,"LMAO, UBER is not buying GRUBS anymore",0.7879
1772,Short sell INFN for a quick 12% profit tomorrow morning. It's earnings came in way below estimates and the CEO thinks profits will lag through 2020.,0.1469
1773,"GRUB and LYFT to merge.Combine combanies to create ONE platform.LYFT gets food delivery, what it needs to compete with UBER.GRUB gets drivers, who are already LYFT drivers, at a cheaper cost per driver.These are both complementary companies who are already sharing drivers!",0.9257
1774,Grub ????,0.0
1775,come on baby another good day please!,0.7955
1776,I have a real question — how long must I hold on to my stocks before I get paid from the take over?,0.2299
1777,"Bought so early @45 ,not sure it will hold up tomorrow morning or not ?",0.4946
1778,https://investors.grubhub.com/investors/press-releases/default.aspx,0.0
1779,Looks like heading for triple digits. The earnings are not bad at all.Gl,0.1369
1780,Should be in green today,0.1435
1781,Dude I am so screwed.,-0.3453
1782,Grub heading $95,0.0
1783,"My local grocery store has free delivery in all orders over $50. And they make great pizza, fantastic salad bar and a wonderful bakery.",0.969
1784,How about you send your customers an email as well. Tell them that if they voted for Trump they are the kind of customer your company doesn't want. Let's see what happens.,0.3317
1785,$35 target,-0.0748
1786,"I’m in @ $83 for an earnings play, GRUB is due.",0.4118
