,Recent headlines and conversations for CMCSA,Polarity
1442,"Thank you jim cramer and cnbc tech crew for illegally spying on my computer, television, and telephone....http://www.cc.com/video-clips/iinzrx/the-daily-show-with-jon-stewart-jim-cramer-pt--2",0.7805
1443,Robin - brainwashed liberals like you try as You may but you can't fix stupid Watch the video below as proof https://www.youtube.com/watch?v=Ut0TaegQ-kw,0.5867
1444,Oak island series is like the Robert Mueller Russian collusion investigation. Now after 2+ years of looking and $30 million in taxpayers money wasted they found zero Russian collusion on President Trump.,-0.7097
1445,"our service techs averaged 18 dollars a hour, starting pay is over 12.50 with increases every six months during advancement, I dont know where you get your information,",0.4717
1446,"Sell before 5g ruins the only stable part of the business left..broadband will die fast when people can get faster cheaper wireless bundled with their cell phone...and no comcast doesn't own a cell network, they resell plans for the wireless networks, Verizon I believe. So once broadband goes up in smoke they are toast. Unless you believe there are enough non binary millenials dumb enough to subscribe to peacock and get their daily dose of propaganda from NBC to replace all the revenue they will lose when broadband internet has competition.",-0.9372
1447,"Came for the news, staying for the stats (going long).",0.1455
1448,BLACKLIST SHOW. WHAT JERKS KILLING OFF TOM! HE WAS THE BEST THING ABOUT THE SHOW! BUNCH OF MORONS!!,-0.5802
1449,"New Street Research says the potential suitors to acquire T-Mobile are Comcast, Dish Network, & American Movil $TMUS $CMCSA $DISH $AMX",0.689
1450,"The Philadelphia eagles won yesterday. too bad I didn't watch. nor will I, for a long long time, Malcom. you are so stupid. just wait till your contract comes up, with all the lost viewers. you are shooting yourself in the foot. like many concussed athletes.",0.1487
1451,dishonest reporting from both sides just look at how we got to record debt and deficits both guilty.,-0.7808
1452,Will CMCSA turn off the lights at MSNBC on Nov. 4th?,-0.1098
1453,"Dump says the USA in not great, but thinks Putin is. And with all that is going on in the Middle East, the moron is tweeting about Saturday Night Live. The right is as blind as a bat!!!",-0.8385
1454,"As a shareholder, Roberts needs to FIRE Noah Oppenheimer. How does this guy have time for 2 jobs??? Why are shareholders paying his time so he can also be a screenwriter??? Oppenheimer MUST go now Mr. Roberts, NOW!",0.5193
1455,"Back over $40 finally. I thought we would get here sooner due to the SKY deal. But, we are here. Good luck longs. I think there is more to run my friends.",0.9612
1456,So far market still staying strong  hoping we go back over $42 plus for Mike.,0.8846
1457,Concast is so full of fake news They should change the name to Idiots-R-Us,0.2683
1458,CMCSA going back up $33 ??,0.322
1459,Ding... Because they don't ring a bell at the bottom.,-0.0974
1460,Media tv is all propaganda on both sides so sad,-0.4759
1461,What will $Sprint numbers actually be? Below Per @WaltBTIG on 4-30-19. Q1 Post-paid phone net additions $TMUS +656k $CHTR +176k$CMCSA +170k $VZ -44k $T -55k$S no report date set,-0.0496
1462,"Once again, these people who devoutly follow the prophet certainly hate women and children. Flying 14 year old girls into the WTC, kidnapping, raping and forcing teens to bear their children for boko harem, driving trucks over them in France, and now exploding nails into the faces of 8 year old girls at a concert Nice people. The religion of peace. I just wish that the people who invited them here would be the people who suffer. Not those who know better.",-0.2988
1463,"Oldie but goodie Google ""Ryan Block comcast call"" to see just how awful these people really are. Many new alternatives for internet and tv have probably come to your area the past few years. Look into cutting Comcast out of your life for good also. Companies like these need to be eliminated from the face of the earth. True evil.",-0.1069
1464,"so what about that comcast stock, eh?",0.3849
1465,What the hell happened to Trumps commitment to repeal net neutrality?,-0.4423
1466,"How about the Xfinity commercial, where Amy Poehler plays a slob parent, and calls her children, and her friends children ""knuckleheads."" O, its no big deal, right ? Well if someone on the right or a man said something like that, the militant left would be indignant and all over it. yeah, the left lets their people be hurtful and say demeaning things. All the time. I'm surprised comcast did not wince when their advertising company showed them how it was going to be. So if its ok for Amy to call her kids that name, can we call comcast shareholders the same thing ? Well why not ?",0.9366
1467,I currently have a 23 percent gain on this stock and added to my position after the latest earnings report. It is well liked by analysts and the street alike. I predict good things for the stock ahead.,0.9459
1468,If one is going to invest...one needs to think about where a company will be in the future and how they can increase their cash and earnings...,0.5464
1469,the move up is 10 points selling at huge disciount because of sky which means nothing either way,0.7793
1470,Mike let's see what happens when Donald T. talks at 3:00,0.5585
1471,"Tonight, Stu Varney talked about Hunter Biden and Kerry, making a billion dollar deal with China. Involving a US company with sensitive knowledge. Too bad he didn't mention their big Ukraine Gas deal back in 2014, 2 months before Putin went in. Did the Ukraine get invaded due to Kerry and Biden ? We should send them to the Ukraine, to fight the Russians.",0.0083
1472,"ADVISE FOR mANAGEMENTMy advise for the new management is to fire Phil Griffin and get rid of the biased and dishonest talking heads at MSNBC in particular, Nicole Wallace. Lawrence O'Donnell, John Hielman, Steve Schmitt, Rachel Maddow, Joe Scarborough, Mika Brezinsky , Joy Ried and Al Sharpton. Brian Williams, Chris Hayes, Ari Melber should be put on the warning list.Reply15",-0.4335
1473,"The weather channel, owned by comcast, is complaining how people are travelling despite CDC warnings.Yet had the CDC warned us back in February, that the virus was spreading like a wildfire through China, we would not be in the mess we are now.The CDC, the weather channel, comcast, Wolf, Gruesome and Cuomo, all liberal, are worthless, and actually harmful to your way of life. Next they'll be telling you, you can't celebrate Christmas. You wait. Its coming.",-0.0016
1474,Anyone has an opinion on Comcasts programming packages. I have a premium pkg that I would like to downsize. Not getting clear replies from customer service.rafeek,0.5023
1475,"Isn't it nice that comcast celebrates pride month. comcast, and Roberts, claim to be progressive, and practice universal love. But I don't see a Hetero Month. I don't see comcast celebrate traditional families. Its obvious comcast isn't as diverse as it claims to be. Like many left groups, diverse means their way, or the highway. it makes me sick to my stomach, to be a paying comcast customer, and helping them promote one way of life, and belittle or ignore another way of life. WHy can't we have US companies that are fair to all, instead of hate filled companies like twitter, facebook, google and comcast.",-0.6539
