,Recent headlines and conversations for PG,Polarity
1803,"Hypothetically, let's say a shareholder (or its family) have held PG shares since 1972.For arguments sake, let's assume its cost basis is zero; all gain.It believes it would be foolish to sell its shares, since there is such a big gain and the taxes would be crazy!While past results are not necessarily indicative of future results, let's take a look into the past, and see whether selling low basis shares would make economic sense.Assumption: state and federal cap gains: 25%For the past ten years, PG's total return has been lukewarm: 62.03%VTSAX (Vanguard Total Market Fund) ten year TR: 156.76HAD it sold PG shares ten years ago, subtracted 25% of proceeds (100% gain) and invested the remainder into VTSAX, its position would be valued 18.65% GREATER than had it simply (as it has) held onto its PG shares.The real lesson for those starting out: do not own too much of one particular stock!Disclaimer: VTSAX represents over 50% of my holdings; I initiated my position 25+ years ago and have yet to sell a share.",0.9786
1804,Is it time to sell this pig before it goes to $10?,-0.1269
1805,Sold this dinosaur and moved funds into XOM.GL longs,0.0436
1806,"PG's transfer agent is Equiniti Group plcI haven't done a direct with the transfer agent DRIP in years, since they are cumbersome (individual accounts) and--I wasn't sure if this still was the case, but it is with PG--they COST money!Investing fee: $5 + 3 cents/shareDiv reinvestment: 5%/$3.00 + 3 cents/share maxI reinvest with Fido; no fees and all my positions are under the same roof!",-0.4812
1807,97 after earnings,0.0227
1808,Buy! Way to get to 125!!,0.332
1809,"It is my intention to keep buying both stocks indefinitely as I sell the call options. Once all the options are sold in my portfolio, the only investments I will own will be KMB & PG common stock.",0.7468
1810,Seniors are getting clobbered by inflation. Government figures are totally out of whack.,-0.2796
1811,Never buy gillette razors again.,0.1893
1812,"snowcat is so dead...Once a wise man said, stagflation, buy consumer staples, utility..",0.5895
1813,I am sure that PG can be traded at 150 if BA is traded at 300.,0.3479
1814,WE don't need people like Peltz to dismantle icons like P&G for greed. Pure greed.,-0.7873
1815,"""Procter & Gamble Could Be The Next Kraft Heinz""This is the headline of a recent S.A. post. The premises are:Private label goods are much higher quality than their predecessors.Lidl and others are expanding in the U.S. and the vast majority of their products are decent quality store brands.Existing retailers have been increasing their store brand offerings.All of the above will be detrimental to branded manufacturers.The writer may have a point, but I don't see such a mass conversion to occur anytime soon.Google the headline, if you want to read the piece.",0.6046
1816,"This one is a reason to take analyst with a grain of salt. All time high, soaring pe and increase price target?? Sounds like they are wishing and hoping like retail investors",0.9516
1817,PG down once again on an up market.,0.1069
1818,patiently waiting for a split.....,0.0744
1819,"FWIW, I have made $8k shorting XLP through PUTS the last month....I currently have 50 Aug 16, $60 PUTS that I bought at .50 last week................WHEN PG rolls over (which PG is 14% of XLP) I will really cash in.....so, those of you crying I shotred too early....well, these are the facts!",-0.2856
1820,PG is down 11.44% to 101.02,-0.2462
1821,PG was too expensive with PE > 60 and flat revenue before covid. you people really think a bump to 3% div will support his price?,0.6479
1822,"Just today on MSNBC at 11:45 am on west coast they were at the Dallas Convention Center that is being used as a refuge for people from Houston.The one refugee gal said it was short on space there but the one thing they really need is a way to wash their clothes. She said they had no washer or soap or quarters at this convention center.P&G has a giant truck loaded with operational washers and buckets of Tide soap they drive into disaster areas to help folks in need. It's called ""Loads of Hope"".If there even was a need for that truck and the good PR that PG would create it is now.I called PG headquarters 513-983-1100.PG gal there said she did not know how many such trucks PG had [un-acceptable answer in my opinion]And that they would consider the idea when it is safe and the truck is available.I re-iterated that it is not raining in Dallas --- she just said the same works [... safe and available].Wow - was that a disappointing call to their headquarters.My suggestion would be to capture the event on film for paper ads and tv commercials --- positive stuff to get people realizing how well current management helps people in need.If nothing happens along these suggested lines, then maybe they DO need Peltzer in the board room telling PG what to do.Flabbergasted by the lack of spirit in the person who answers the corporate Shareholders Services line at headquarters.",0.9947
1823,"How sad that a far-left company like Proctor and Gamble can air ads emasculating and ridiculing men as well as glorifying transgenders and hating on anything moral, yet the stock isn't even effected.The leftists know how to organize and force these pansy companies into bending to their will while conservatives don't do anything and just keep on getting marginalized. They can't even organize an effective boycott and if they do, people are too lazy to target every product they sell and stop buying them. You ask most of the guys still buying Gillette products about the politics of the parent company and they wouldn't have a clue.I guess it's the ""un""-woke. The spoils go to those that are paying attention.",0.7136
1824,"As a long I like this but a p/e of 20 and a yield under 3%, really?",0.4831
1825,"SPLITY,,,,WE NEED A 2-1 SPLITY BABYCAKES",-0.1865
1826,PG is one of my favorite dividend growth stocks. I talk about dividend growth stocks on my youtube channel. The channel is really focused on new and beginner investors looking to invest in dividend growth stocks and ETFs. https://www.youtube.com/channel/UCrg6IDPf4a7pUKTN90n6syg,0.9566
1827,Thank you for your respond,0.3359
1828,"Snowcats, P&G will hit 100. XOM will hit 70.",-0.2089
1829,"According to some former and very sensitive posters, the recent quarter ""should"" have shown a huge sales decline due to ""the ad.WSJ: ""Procter & Gamble Posts Strongest Sales Growth in Eight Years""Where did all sensitive posters go?",0.7591
1830,"Kroger, the country, largest grocery store was completely out of hand sanitizer and of all things, TOILET PAPER. Products that are considered necessary our hard to find now. You would assume a company that makes toilet paper and other necessary items would be doing well during this hoarding . Best of luck.",0.9263
1831,It broke Support level of $120.41...NOT GOOD!,0.7253
1832,"Love the all time high, but I think it's time to set some stop limits at $121-122 though for a portion of my holdings. PG will continue to be a great defensive play. With the fears of the trade war and recession behind us though. people will likely rotate to faster growth.",0.4588
1833,Any hint of a split sometime in the relatively near future?,0.3921
1834,"hey, analysts, Raise PG price target to 150. OK? Costco pe is now 34",0.7071
1835,Predicting lower birth rate and slowdown in diapers and baby supplies,-0.2517
1836,"I rarely mute a fellow poster but I did mute ""snocat""; thus I'm not sure if it is still populating this board. Probably not, since PG's performance has perked up and it would look even more foolish than it didnin the past.Just about four years ago (April 24, 2017), snocat wrote:""Only a moron would own PG or buy it today"" I found its words rather funny, since purportedly it and its family were long several PG shares making all of them ""morons""!Regardless; let's go to the tape...Total Return 4/24/17 to early morning 4/23/21:PG 68.65%S&P500ConsumerIndex 40.76%VTI 88.98%Relative to its peers, PG performed quite well, but its shares lagged the overall market (VTI).",0.969
1837,About time they invested in some green products. I’ve owned PG since 2009 but plastic micro beads in toothpaste...hard pass!!!,0.3522
1838,"Market hits a new record and of course, this stock is down. Just curious were Taylor and Immeldt claasmates. They both seemed to have taken good companies and run them into the ground!",0.8408
1839,P & G came Roaring back in the right direction today!,-0.1033
1840,Off the lows already.,-0.1139
1841,Since we are not wealthy. The Trump tax cuts for the rich hurt us more than help us.,0.5089
1842,How many stocks in DJ having PE over 25?PG will break 100.,-0.4504
1843,"It's amazing, to me, that the chaos and economical damage we experienced this week with COVID19 actually exceeded that of the 9/11 attack on US soil by foreign entities. Go figure....",-0.8298
1844,"The ignorance of the average trump supporter is astounding!""---James",-0.1078
1845,Great news but the stock dropped. Its coo-Koo.,0.389
1846,"Are there any long term PG holders among us that have purchased shares over the years? (that describes me with a few issues, but not PG).Nothing is written in stone yet, but part of the tax ""reform"" proposals include no longer being able to specify particular lots when selling (whether for a gain or a loss). Only FIFO will be used. I had been planning on lightening up on a few overweight positions and the prospect of only being able to use FIFO when selling in the future, prompted me to sell a some of a few positions yesterday.Gotta love ""reform""!",0.9644
1847,I think we've seen the bottom of this pig iit will go up from here!! BUY BUY BUY!!,0.6794
