,Recent headlines and conversations for PEP,Polarity
912,"Smart move by PepsiCo picking up Sodastream at a reasonable 10% premium to its most recent closing price. This follows SODA's latest quarterly report that confirmed it's successful transformation into the world leader in the growing segment of home-making sparkling water ... this will allow PEP as well to expand its footprint in two fast-growing and important consumer trends - anti-plastics and less sugary soft drinks. I had thought SODA could be a takeover candidate in the beverage industry, but at a higher price further down the road. Gd luck",0.9465
913,"They should have named this company by who brings in the biggest earnings. Instead of PepsiCo, they should have called it “FritolayCo”.",0.5161
914,"Buying Pepsi today, coca-cola is dead to me",-0.4431
915,"Noticed KO spiked last week, PEP usually raises in kind Hoping this week is Pepsi’s turn.",0.7607
916,"Up $2.46 right now. That's sheety! I have a buy order in at $100/sh. I should have bought yesterday. Oh well, maybe it'll go back down soon.",0.7435
917,NEXT week MORE FUN--RIP,-0.156
918,"BLM dumps on ACLU-----NFL BLM are in bed with PEP , both dump on the flag -Enjoy ---------Mothers dont let dad take your child to a NFL--NBA -BLM - game ---NOT safe---Vegas",0.2813
919,"I bought Altria at 42 and FDX at 140 in October, up around 15 percent since. how is Pepsi doing since than? oh yeah down five percent",0.4598
920,Buy Buy Buy,0.3739
921,Everything good besides withdrawing guidance. Will market care is the question?,0.5621
922,I have held this stock for many years and it is long over due for a split of two or even three for one!!!,0.7813
923,"Ummm....shouldn't I have received my dividend check in my mailbox by now.?? (shares are held at Transfer agency, and they normally are ""quick"" about sending my check and stub.))",0.6634
924,Eps beat last 12 times in a row,0.1333
925,"Paradoxically, the longer it takes the FDA to provide clarification on CBD rules & regs, the better it is for $KGKG, a smaller co. to grow and land contracts - as they are not waiting (like most seem to be) to get their product into to those states that have already opened the door. CA, CO, MI are very large markets. Some companies like $NBEV are dragging their heels waiting for national distribution & missing out on getting a head start. But almost everyone will jump in at the same time once CBD rules are clarified, $KO, $PEP, $MNST, beer companies, everyone. Am I wrong for thinking this way?",0.5515
926,What is REALLY funny is that about ten months ago the left side of the aisle (perhaps due to fake news) was promoting a boycott of PEP products. Fast forward to today and.....Boycotting: America's newest and fastest growing pastime!YIKES!!!,0.6695
927,"yowza, there's some PEP in the step, and a step in the PEP today!....",-0.2705
928,"too bad Buffett didnt buy Pepsi instead of Coke, as Pepsi has made a beotch out of Coke over the last 30 years",0.4207
929,148.31 closing in on the all time of 148.77!,-0.3469
930,Good riddens the evil Aunt Jemima is gone for good. No more black people pitching products on labels. Get woke and get stupid.,-0.6223
931,"Wallstreet doesn?t respect stocks that actually make money at the moment, everybody is chasing the BS companies like GME this will charge rapidly was they all loose their #$%$?",0.6762
932,Can’t even closed today s as t 139. This is ridiculous. Since COVID. The sales is much higher and earnings are better than expected. Shortie. I hope you are prepare to be burned on Monday.,0.8203
933,"If ""SNOW"" has a system that ""has worked 100 % of time every time"" why oh why does she delete her ""work""? Why even bother posting if you're a fan of Mission Impossible???",0.2582
934,"I just drank my last Pepsi , if Pepsi wants to kiss the BUTTS of some dumb liberal so be it ! Everyone boycott all Pepsi products",-0.2663
935,"Bye Bye you garbage company. Take your pc moves and cram it. PEP is bound to be a loser now, a racist pancake syrup, omg; what a bunch of morons.",-0.8949
936,wow what a week to make money,0.6424
937,Chinese hate Pepsi? why the big dump?,-0.7345
938,"quite the dump today, what's up with that? of course e*trade shows no news.maybe it is welcome to Joe day and down we all go.",0.5839
939,not headed their today to 150,0.1216
940,why is this not reversing like the others? downgrade?,0.3041
941,Nice to see (for those not (still?) boycotting) PEP's ads that ran during the Super Bowl were well received--KO's not so well.Congrats to Philly,0.8541
942,"NFL - fire all the pro-players , hire new players , dump on the flag -your --Remember -MONEY first---this will take 1 year to play out? SPONSORS hope this takes only one year, 2-3 years -most will go under-?",0.8541
943,"just cause I can't be bothered looking into it, can someone who knows let me know why they made a lot more net income than other years. I see they made around 3bn in income tax instead of paying >1bn like thy usually do. can someone explain why this was the case? thanks",0.911
944,Hold on to it. Go Long.,0.4653
945,"down we go? what the heck, this is stupid.",-0.6319
946,Just bought 200 shares of PEP today at price of $134 sell off 100 shares at $142 this coming week and hold 100 for my future good luck you’ll ,0.9112
947,Pepsi (pep) gets a recommend on morning business show Friday.,0.4419
948,"If some of you don’t think Pepsi doesn’t blow away its first quarter numbers, you are not witnessing what is going on out there. Volume and Revenue is trending up over 30% over last year during the same quarter. This stock is a bargain at these prices along with WMT. Their volume is up over 20% versus prior year in the first quarter. Good luck to all.",0.929
949,"love pepsi, this idiotic libertards would not prevent me from buying pepsi. I was hoping to buy the stock with these libertards nonsense but it only went down .014 cents, rats...was hoping for a hit of at least 10.00 dollars.",0.7098
950,Added Pepsi. Going to sit on it for a few weeks,0.2026
951,Down $2 today? Taking it down before earnings are released. Buy on weakness,-0.4755
952,Well done fellas! Another beat and another dividend raise. Back to the 140’s! Glad I bought more on weakness yesterday like many others here.,0.8488
953,bought at discount today,0.2163
954,Way oversold ... grabbing some Pepsi for nice divi,0.7541
955,Pepsi drinkUsa a plastic 24 oz cup.Put in 8 to 12 icecubes fill it to half an inch from the top.Add in 2 peppermint candy .Add in 2 butterscotch candy.Put on the lid add a straw.Let set for 15 to 20 minutes.Then drink.Very yummy for the tummy. Recipe is from a retired Bach's candy employee. My grandpa.,0.8913
956,Throwing money down the drain.Coke Energy is soooooo much better.,0.4669
957,"Luv the soda, luv the snacks, luv the stock, ....come-on and split already.!!! its been like 25+ years already.",0.6726
958,"pep is going to break $110 over the next week, not alot of resistance",-0.2273
959,Pepsi hates whites. hiring on skin colour. I will be boycotting these brands.,-0.6942
960,Partnering with Beyond Meat to make plant-based snacks and drinks!,0.2763
961,"i have good question, is bubbly pepsi product? if so, that stuff is a hit, the lime tastes like a sprite and i love all the flavors, you can drink them like beer (consume more than one at s time) and enjoy them anytime without all the sugar and rotten teeth, imagine machines with this stuff coming out at the cost of a large soda cup, nice",0.9658
962,"for now,low price is over",-0.0146
963,This is long over do with a stock split of 2 for 1 or even 3 for 1 !!!,0.7212
964,"gatorade is Owen by Pepsi cola also frito lay, this could be good ?",0.5232
965,Nobody drinks Pepsi or coke for the matter anymore. Its sugar water or cancer causing diet #$%$ tasting soda.,-0.5878
966,"Better to buy PEP now while the dividend is this high. This stock will not only regain it's old highs but the dividend will fall below 3 again. Good income source, will again be a good source for capital gains. Gold.",0.9278
967,DEMNUTS come in to BUY - make the NFL look good --NOTHING changed----sells will DROP - time to buy long out PUTS ------AMERICA has CHANGED------CHANGE is when we make MONEY --drop the sports on tv,0.8609
968,"cheap, debt is a bit high, dividend is too low considering the amount of liquidity",0.0218
969,Very sad. No Pearl Milling company for me EVER! Ridiculous ! Maybe they could sponsor the mark cuban nba team . They have time to eat because their is no National Anthem.,-0.4578
970,"It's just a matter of days before PEP breaks out of this extended consolidation pattern with resistance at $139. The next time it hits 139, it's going straight to 145s Stock offers an excellent combination of safety, growth and big dividend.",0.9307
971,"give me one reason why to buy this trash, no volume, no profit... this stock like a turtle.",0.3271
972,Finally 140,0.0786
973,PEP seems to be a good investment especially in the long run. Here’s hoping I’m right!,0.8959
974,market going be hit hard 2000 point drop?,-0.4237
975,Pepsico is on a bullish run. Great chart!!,0.84
976,Excuse me but that is a huge dividend.,0.6221
977,for cannabis fans out there IGC with only 30mil outstanding share currently have the Tilry effect in early stages,0.8337
978,"I own a lot of this stock... It is one of the important ones I have made a lot of money with this buy. My recommendation... BUY, Buy, and then BUY again. Do that for 3 to 5 years.... And enjoy retirement with this one pick.",0.9323
979,"Dear fellow Pepsi shareholder, do not fear, there is a strong technical resistance level at $110.",0.8647
980,Easy money day before ex div. $135-140 in under a monthLove it. Not sure why it down so low,0.4594
981,"After being down 70% with $AMC, It motivated me to invest in more stable stocks. PEP definitely feels like the right one, especially with their over $4 a share dividend every year. Bought 50 shares at $132-134 and will invest some more soon along with some other stocks that i feel have a good long term future.",0.9657
