,Recent headlines and conversations for WMT,Polarity
1900,"Anthony the board antagonist spreading hate and discord with comments like “democrats have made it clear that protecting criminals is more important that protecting law abiding US citizens”. WAKE UP Q TROLL AND LAY OFF FAUX NEWS!!!! Decent Republicans, democrats and independents just want justice served, and it was yesterday. Get a life buddy, seems you’re here 24/7.",0.8955
1901,how come I wasn't told that walmart was having a huge sale on it's stock today,0.5055
1902,Taxes aren’t costs “they’re just happy little mistakes”,0.6272
1903,"The Houston Chronicle asked ""Sen. Cornyn, what's wrong with treating people humanely?""""Clinton ran for re-election on a platform that said, “We cannot tolerate illegal immigration& must stop it.”""Obama said, “We simply cannot allow people to pour into the U.S. undetected, undocumented, unchecked.” Senator John Cornyn “President [Joe} has instead emphasized the humane treatment of immigrants""",-0.4609
1904,'In the last 9 months of [LOSER's] presidency there was a 690% increase in unaccompanied minors encountered by CBP. There’s been a 61% increase under President [JOE.]How come we didn’t hear a peep from {GOP} until now?',0.5947
1905,"TGT is down today. You know if WMT blew away numbers, TGT has to have done the same. TGT has a lower PE. If you want a stock to make money quick, buy TGT today and sell tomorrow at the open. Just my not so humble opinion. I am killing time waiting to pick someone up at the airport.",0.739
1906,"The Vax Live special starts now on CBS. Check it out, some people actually care.",0.8275
1907,"Do you own Coca Cola (KO) stock or Pepsi (PEP)? There may be implications on their stock in Georgia. The Georgia legislature has decided to remove Coke from the capitol building and replace it with Pepsi after Coca Cola company decided that everyone should have the same right to vote. The party that loves to preach about how bad the cancel culture is sure seems to be the biggest supporter of cancel culture in their use of it. By the way, in case you can't figure it out, I was just joking about the stock implications as it is meaningless and laughable for Coca Cola.",0.9208
1908,Most people like Amazon because they treat their employees so well.,0.8171
1909,Green pre market!,0.2995
1910,"Retail sales forecast to rise as much as 8% this year against pandemic comparableFeb. 24, 2021 11:23 AM ETWalmart Inc. (WMT)By: Clark Schultz, SA News Editor2 CommentsThe National Retail Federation forecasts retail sales will grow between 6.5% to 8.2% to more than $4.33T in 2021 as more individuals get vaccinated and the economy reopens.""Despite the continuing health and economic challenges COVID-19 presents, we are very optimistic that healthy consumer fundamentals, pent-up demand and widespread distribution of the vaccine will generate increased economic growth, retail sales and consumer spending,"" says NRF President /CEO Matthew ShayEarly results show that retail sales in 2020 grew 6.7% to $4.06T, which of course included the period of intense pandemic disruption (online up, brick-and-mortar down).The NRF forecast for 2021 makes the principal assumption that the vaccination will be effective and permits accelerated growth during the mid-year.The set-up looks favorable for retailers like Walmart (WMT -1.3%), Target (TGT -0.3%), Best Buy (BBY -1.0%) and Costco (COST -0.8%).",0.9748
1911,Golden State is indeed Golden!,0.6834
1912,"Honestly, he should have been in prison due to Joe’s 3 strikes law.",-0.2277
1913,easy to see what the cult stands for.,0.4199
1914,What did you spend your stimulus check on fritz?,0.171
1915,Time for the Trickle Up Plan. Trickle down plan didn’t trickle down.,0.1508
1916,Do to new laws in Georgia apply to Repubs too?,0.0462
1917,“Crimes against humanity”,-0.25
1918,And Flipkart ipo is yet to come!!,0.2714
1919,"SHEP. HERE................ Not about WMT, but EVERYONE NEEDS AN ID TO VOTE. I work elections in Arkansas and you show an ID, or you don't vote. Everyone knows it and will have it. PLUS, voters know they have to have been registered and their names are in the computer, so when they come in to vote, and show their id, I can easily find them in the computer. You start typing their name in and instantly it pops up before you even finish. It is so much easier when they have an ID because some Korean names have X's and Y"" and have 20 letters and you can't spell them, but with an ID. it makes it easy. ARKANSAS has the ideal voting system!!!!! No ID,NO VOTE.",0.9967
1920,"Everyone already knew what the 12 billion was for but it will not fix anything. It was only designed to try and stem the tide of republican party defections but won't work. No matter what the outcome, everyone knows that after the election, the farmers will just get the middle finger from the republicans. https://finance.yahoo.com/news/trump-buying-votes-not-helping-farmers-202958144.html",0.5011
1921,"wow, $22.5 billion a year for daycare....0.1% of gdp.so , a 1/10 of a penny for each dollar of USA total income is too much, right? I guess that's why the USA is near the bottom of developed nations for Public spending on childcare and early education",0.8492
1922,AMAZON STOCK UP $143 AFTER HOURS.,0.6615
1923,Trump's 'Soviet-style' coal directive would upend power markets https://www.washingtonpost.com/opinions/faced-with-the-free-market-trump-takes-out-the-shackles/2018/06/04/e79bc4a6-6837-11e8-9e38-24e693b38637_story.html?utm_term=.6b08565ffeea,0.6731
1924,"Listening to Leon Cooperman on CNBC. He expresses the same values as I do. He said he bought a new car recently to replace his 20 year old one. We tend to drive our cars a very long time, too. Trading cars is such a waste. The tax on a new car is high for one thing.",0.9326
1925,"if everything is legit in AZ, why is everyone so worried about an audit??",-0.3421
1926,"http://beta.latimes.com/business/hiltzik/la-fi-hiltzik-gop-social-security-20171130-story.htmlSen. Rubio tells a secret: After giving a tax cut to the rich, GOP will cut Social Security and Medicare – LA Times",0.3441
1927,I remember when the NBA pulled the All Star game out of NC a few years back because the libs wanted grown men to use the bathroom with little girls. David Tepper just bought the Panthers for $6 billion CASH not long after that.,0.367
1928,5/15/21 (CNN) One of the most vaccinated countries in the world is experiencing a Covid-19 outbreak.,0.2885
1929,There are more than 20 new electric cars and trucks coming to market within the next year. Much like cutting the cord on cable TV it is getting closer to cutting the hose on the gas pump,0.4661
1930,"SHEP. HERE...................... Peny, as Maria said, if you work at WMT, you would get 15% off the share price and then you could sell and that would be the biggest profit that you will have made because your shorts haven't done well. The most you have made was the day WMT reported and you made about 8 a share that day (giving up the amount it was down the two weeks following). You really blew that.",0.8999
1931,"Let’s hold strong! I like the greenhouse industry aswell for those who know greenhouses (fresh produce) in Leamington, I like $GRF Greenrise Foods owns and operates 70 acres of greenhouses (runs 30 acres of Sunset Mastronardi Produce greenhouse) only $2.50 and climbing, ground level.I think will trade near $APPH $40 $KR $WMT distribution channels",0.8672
1932,27 positions between diverse industries and all in red..... Can anyone explain this?,0.0391
1933,"Despite competition from other supermarkets in the big cities, WalMart has a significantly STRONG hold on rural America.",0.8434
1934,See what I mean?,0.0318
1935,"WMT earned $1.69 per share for the first quarter, compared to a consensus estimate of $1.21 a share.",0.6212
