,Recent headlines and conversations for HD,Polarity
2529,"lynnwood and Edmonds WA....The new building around here is KRAZY.The empty lots are disappearing.12,339 of our garage door jobs completed by my Son and myself with ZERO bad checks.That tells you about the quality of people living around here....",0.013
2530,Any talk about a dividend increase?,0.5758
2531,It will keep dropping,0.0394
2532,The Dow Jones was down over 300 points just a few minutes ago. It looks like it’s starting to come back.,0.2375
2533,"It is the stock of the week, HD is no doubt will go higher because of Texas and Florida. The reason is the velocity of the storm is still over 150 miles per hour, and the path looks like gonna hit South Florida. How they gonna move over 100,000 people out of the storm. I hope no body got killed because they know in advance over 72 hours.",-0.003
2534,Many on this board are calling for a stock split. I'm opposed to it and not only because doing so is a matter of having two $100 bills or twenty $10 bills.I want to laugh at the Tesla loons when the share price of HD passes the share price of TSLA.,0.8913
2535,Let's let all the h 2 o backs and worlds poor flood into the US. Sounds like a great idea. ,0.5139
2536,"Lumber Liquidators is selling off !Lumber Liquidators Holdings, Inc. (LL) 25.17-0.84 (-3.23%HOVNANIAN and BEAZER HOMES TANKING !hmmmm",-0.907
2537,It’s funny how they’ll tell you better buy it’s about to go up but they don’t tell you it’s ab to go down till it’s already down,-0.0328
2538,"Take a look at the chart since 2011, look a little strange to you? Nothing grows like that accept a tumor.https://finance.yahoo.com/quote/HD?p=HD",0.6843
2539,easy money,0.4479
2540,"Gotta love Rick Scott, another fiscally conservative Republican governor. How much you think he's gonna try to shake down America for? $250B billion? Absolutely love these fiscally conservative politicians. My how they change when the water is up their neck.",0.8857
2541,"Being a 29+ year associate, I just watched my portfolio, take a massive dump :(",-0.5897
2542,I have decided to back out of the market for a few years . I have owned about 12 stocks thru DRIP plan. I have had all my stocks for about 35 years,0.5765
2543,"With $HD the Third Megadeal with $AMZN and $WMT building like crazy, I expect $PLUG o rise towards that great 2Q quarterly revenues of 37 million",0.7214
2544,I just joined “StockTraderProfit” and I'm so glad I did. Their last alert delivered 37% in a few days.,0.6671
2545,Buyer210.00,0.0
2546,@210 would make for a good 3 for 1 split,0.5979
2547,"Jackson, are you actually here? Go play with the other one (s).",0.8505
2548,I am thinking that HD longs are going to be shocked by the next HD earnings report !https://www.usnews.com/news/articles/2017-06-14/monthly-retail-sales-fall-the-most-in-16-months,-0.1348
2549,"Blood pressure up and down, up and down, up and down. Okay, time for cold showers.",-0.309
2550,"Here we go, time to move up. Shorts are about to get crushed.",-0.0562
2551,"HD model is working with contractors who are virtually ""max'ed out"". Lowes DIY model is seasonal and variable. This could be a huge difference.",0.3875
2552,"HomeDepot is anonymous now, no huge competition as Lowe’s started closing stores and Sears Going for bankruptcy",-0.4064
2553,good after hours gain after a slow day,0.6134
2554,"Dont worry, people will buy this hand over fist starting next Monday and forget about lower guidance. Just a ploy to drop and buy lower by bigger institutions.",-0.3593
2555,Climbing toward 250 each day,0.453
2556,https://www.mediaite.com/tv/home-depot-co-founder-tells-democrats-to-use-your-stupid-brains-you-dont-have-any-brains/,0.0
2557,Motley Fool are idiots,0.1665
2558,"will be red like i said, free money printing is over, once foreclosure and realities of real economy state comes home to roost, this will lose 30% at least. Covid related free give away is over within few weeks",0.6229
2559,"Kenley and others - Possibly you do not understand that other than in very small cap stocks, individual investors have NOTHING to do with stock price movement. Institutions own the great majority of the shares and their very well paid MBAs and their spread sheets determine stock price. New holders of a split stock will NOT, repeat NOT, have any effect on the stock price. If that were the case, you would see tons of companies splitting right now, while the truth is that NONE are splitting!",0.9719
2560,Dorian did create millions of $ in hurricane preparation sales and none of their stores were damaged. l live in NC and HD's shelves were empty of the storm related necessities and tons of plywood were sold along the ocean front.,-0.3465
2561,HD and CAT weighing on the Dow this morning. Maybe we will get something good from Kim and Trump meeting or Jerome Powell testimony this afternoon. Market had a big run recently so a little selloff is due. I didn’t think the HD report was bad as they actually beat EPS on adjusted basis and revs only a slight miss only disappointing part was same store sales. Spring generally improves the sales.,0.8739
2562,...a good day for HD,0.4789
2563,Love hd,0.6369
2564,https://finance.yahoo.com/news/home-depot-hd-outperforming-other-153003994.html,0.0
2565,we ha a good day,0.6791
2566,Market is all over the place again. Don't know if this has anything to do with Trump signing off on the aluminum tariff at 3:00 today or what! Just get er' done so we can move on dammit!!!,0.7264
2567,Will buy back under $250,0.0418
2568,These so called Analyst are at it again talking it then talking it down for the BIG GUYS.,0.5693
2569,400 up next! End of year,0.209
2570,I already predicted this is a bubble no one want to listen.where is $200,-0.1248
2571,"Amazon is coming for HD soon. It's been a nice run, time to get out.",0.7396
2572,Even tho there a hotbed for the virus they are still open and people are still flocking into them.Disaster in the making.,0.3499
2573,Don’t work abt this company guys... as long as the housing market keeps churning buyers and sellers of new and existing homes there will be home improvements. If it pulls back another 10percent that would be amazing,0.9249
2574,sold all my shares for 235 in December. thinking about buying back in for 205.,0.5725
2575,HOME DEPOT SETS NEW HIGH TOMORROW AFTER EARNINGS BEAT.,0.645
2576,"Alright we get to sell the rip again and again. Hurry Buy , Buy , Buy so we can sell the rip and for sure make sure you NEVER EVER buy the dip or you will be the one stuck holding all the way over priced stocks. Why because the FED and any China deal can not save you.",0.9757
2577,"Yahoo, as the old saying goes...if it ain't broke ..don't fix it. Please go back to old format.",0.3079
2578,Housing market strong interest rate low HD best of breed. Run with your winners.,0.9592
2579,Home Depot reached an all time high at 282.17,0.5248
2580,Hey Y. Did u cover your short at 191 yet? Lol,0.0147
2581,great week of atrong growrh,0.6396
2582,"GDP not good is very good news for HD, that means American house condo too broken, it need improvement, so home improvement things demand very strong in this covid-19 disaster, new home sales very strong, that means American need change, most of people income rise in this covid-19 disaster, and salary raise too, the people trending home improvement,so it's very good chance to buy HD, see pg sales very strong growth, it's things sell in HD, so HD will be $500 per share in 12months, housing sales growth just beginning, so it's growth at least 4years,",0.9806
2583,Great company leaders in the industry $400 easy,0.8485
2584,Hopefully the market is coming to grips with the coronavirus being nothing more than a variant of a cold virus.,0.7525
2585,I regret not buying this a month ago,-0.057
2586,32% dividend increase and 15 billion buyback plus a duopoly. Only a fool would sell HD IMO.,0.7643
2587,Nice 179. Let's see 180!,0.474
2588,I think stock split would be a good move especially now early spring,0.8064
2589,"Hey, Atlanta is a big football town. Guess what, Atlanta, You got schooled. You got ridden like a rented horse. You were embarrassed. All that rise up, brotherhood krrapp amounted to nothing. And, Homoe Depot played you like a fiddle. They threw in a few bucks so that you would shop there forever. You are losers and so is Homoe Depot. Get a team that can win and then you can complain.",0.9504
2590,don't believe doctor money. he's a short seller and trying to fool you!,-0.7175
2591,Pathetic.... If earnings are good everyone jumps out!,0.6646
2592,Big Joe will be watching closely. Round 2 .,0.5728
2593,More likely scenario is amazon buys Home Depot.,0.2899
2594,"Looks like mega crash imminent, sell every stocks especially those high flyers.",0.3924
2595,"4 times the ave. volume, tell me wall street isn't burning people. This will fallYEP",0.7141
2596,BOYCOTT AMAZON BEFORE IT TAKES OVER THE WORLD.,-0.2405
2597,I have always shopped LOWES. Today and forward I will support HOME DEPOT. I LOVE people who LOVE Trump. I am a TRUMPER and very PROUD of it. I broadcast it to EVERYONE. A President with both CONVICTION and BALLS!,0.9647
