,Recent headlines and conversations for ADBE,Polarity
1301,Volume starting to pick-up. Feels like they will announce at 1700 Eastern.,0.6083
1302,"Very poor results, was higher AH, when the Market wasn't up last night $406",-0.05
1303,It’s on sale,0.1606
1304,"Everything seems good about Adobe. Solid Company, and all analyses are extremely positive. I am in with 20% of my total investments.Excuse my grammer. I am from Denmark.",0.8497
1305,Adobe is down 4.91% to 316.07,-0.2744
1306,Mad money on calls,-0.4685
1307,https://www.nasdaq.com/articles/at-%24500-adobe-is-a-fine-buy-and-hold-software-investment-2020-10-29,0.0
1308,looks like a good day today :-),0.8008
1309,Sinking fast,-0.0442
1310,"So tired of this sell-off in a good company like ADBE. I feel more confused because they pre-announced great guidance last month, & still this! I hope to hold it till December 13th for earnings report, unless my stop loss order goes through.",0.7801
1311,"there it goes.... time to buy, buy, buy!",0.5179
1312,"Anybody who has the words ""Pro"" or ""elite"" in their username are anything but that. Adobe will consolidate in this range and be back over $300 soon enough.",0.6679
1313,Does anyone have an opinion how or if the move by google chrome to stop supporting the adobos flash player will affect the company in any way or stock reaction at least..? pumpers and dumpers please refrain from answering thanks.,0.7376
1314,Hedge funds and institutions selling based on a citi report?? I thought software is the place to go with all these china turmoil.,-0.1498
1315,short ,-0.4864
1316,Like ADBE and ADPT to new high,0.5957
1317,ADBE 550$ end of day?,-0.0012
1318,"My lowest cost basis on ADBE shares is $104, bought more making the cost basis $148.02. Long the stock and plan to stay long for life. This company has a moat and it is the best cloud stock IMO along with NOW. You don't sell companies with moats. You hold onto them.",0.9561
1319,https://www.forbes.com/sites/ezequielminaya/2019/12/11/adobe-cfo-poised-to-help-software-maker-shake-off-recent-stumble/#297400295da0,0.0
1320,this is beautiful. my 307.5 calls made money!!!,0.7227
1321,"Anyone who is not buying ADBE at these discounted prices is a damn fool. ADOBE stock is in the midst of experiencing the most powerful BULLISH technical indicator known to trader's and investor's. It is called the ""golden cross"". This is when the 50 day SMA (slow moving average), moving upward, crosses above the 200 day SMA. This doesn't happen often folks. This is one hell of a wonderful buying opportunity that will result in a better life for you and your family. In the short term, we should be above $290 within the new quarter.",0.9526
1322,YIKES!! UP 18.00 in Afer hours!,0.4921
1323,We will see $ 500.00 very soon!!! GO ADBE GO!!!,-0.5966
1324,Big miss! OMG!,-0.363
1325,Up 1.4% in the first 9 minutes of pre market could mean a big push UP so hold on!!,0.684
1326,550 by may,0.0644
1327,ADBE is not inflated like most other growth tech stocks right now. It’s actually at a decent price and worth accumulating more shares. It’s consistently been growing revenues and earnings and will continue to do so. May not be as explosive as some other more speculative names but in the long run slow and steady wins the race. But again most importantly this stock is not hugely over priced and does not have the negative press or the us government hovering over it like other big tech stocks. use this lull as an opportunity to expand your position in this stock.,0.9922
1328,Like ADBE and buying IQ rocket,0.7291
1329,ATH tomorrow,0.7663
1330,Really glad to see the support at this level. We’re above the 50 day moving average for the first time since August. At this rate we’ll pass the 100 dma next week and then further north?,0.9452
1331,"Is today’s price action just ADBE mirroring the nasdaq, or is there something else going on?",0.3692
1332,"Adobe's ""technical issues"" last week tells us one thing; USER DEMAND IS THROUGH THE ROOF.Brace yourselves for some phenomenal earnings this quarter.",-0.1801
1333,$270.00 before earnings Thursday .,0.1075
1334,Wow. Horrible action.,0.1017
1335,Best slate of new products EVER!!! Adobe's product innovation is accelerating!,0.8847
1336,"Remember to always take profits especially during times of uncertainty. 2 P.M. FED makes decision on whether a cut is coming or not to rates, if no cut expect massive crash. Current rally has already priced in a cut.",-0.806
1337,This will go up today per MF.....,0.3114
1338,Fundamentals are strong...highly innovative company...buy buy buy,0.6047
1339,"Wow, -$40 in 24 hrs. That certainly wiped out some folks.",0.7937
1340,still above 400..,0.3653
1341,$580-600Big prize of ADBE at the end of 2020,0.4596
1342,ADBE pre announced they will exceed their earnings estimate.Their SP has held up better than almost any of the big tech stocks.Their products are not affected by tarrifs or trade war or anything related to China.SP recently (last week) hit 260.Cramer came out and supported the stock two days ago.Even the bears on the overall market (calling for a recession in 2019) agree we will have a positiveclose for stocks this year.All that helps me to conclude buying pre earnings is a reasonably sound decision.,0.9382
1343,"PE 53 seems extremeearnings look to be around 2.8% returngood growth but, that's so far, will it continue enough to justify the PE of 53maybe notup too much in one year, 10 years evencautious short?",-0.0867
1344,Why market getting down?? Adobe purchases at $425 per stock now its down. What should I do? I need back money within 5 days ??? Suggestions need from you all legendary people,0.4165
1345,"Just about every copy of every Adobe product in use within southeast Asia is cracked, a.k.a. not paid for. Plus, all these cracked versions are easily accessible. Lets face facts, at least 70% of the general population are dishonest. This and the fact of low cost competitive products getting much better all adds up to a big SELL.",0.8777
1346,ADBE is down 4.97% to $250.13,-0.2462
1347,Look at ADBE rock!!! GO ADBE GO!!!,0.4307
1348,ADBE reached a new All Time High at 273.65,0.3954
1349,problem is ADBE keeps going lower and lower everydayBig institutions keep dumping ADBE,-0.7809
1350,"Oops, already crashing, tomorrow opens with a gap down",-0.1245
1351,Check out today's chart at 12:50pm. That's a Golden Cross. Get in and hang on!,0.7027
1352,ADBE will plow through $ 400.00 very soon!!!,-0.312
1353,timber,-0.4871
1354,how the hell is it going down already? its only been 6 min since market closed,-0.7865
1355,We will be at 430 by the time they finish with the conference call!,0.5218
1356,Adobe to DOUBLE in next 24 months! Amazing company!,0.803
1357,The best of the breed in CLOUD!!!!! Earnings will be way above estimates as well as guidance!!!,0.9348
1358,HAHAHHA HAHAHAH,0.0
1359,Please not the “not no mo” curse. I’m selling,-0.5247
1360,I remember when this traded for $5 or $1.90,0.0981
1361,ADBE==NOW==CRM==old software stocks==sell!,-0.1071
1362,Why doesn't ADOBE split like Apple and Tesla?,0.0037
1363,Who sold at $438 ?,0.0296
1364,this cant be real????? why the huge crash ?????? daily ?????,-0.418
1365,ADBE will likely move up to $130 and settle there before a pull back to $120. Adobe is a very good company and those hoping to trade down to get below $110 could end up very sorry.,0.8229
1366,ADBE flexing...showing just how much of a powerhouse they really are. A great quarter with a very positive outlook!,0.8533
1367,"All the software stocks got slaughtered this week....based on some manipulation and BS downgrades. Hopefully, they start loading now at 10% discount and we fly next week.",0.4408
1368,"ADBE broke below the support, it could go all the way down to $350-$375.",-0.4835
1369,Probably not much to expect here until the start of a new tax year.,-0.0374
1370,Everyone I know is running a cracked version of Creative Cloud.,0.5077
1371,Looking forward to what Fallon outa the sky,0.5468
1372,"Went down on last ER, which was the best beats in 4 qtrs, so I am going to say down on this one as well.",0.812
1373,Boring,-0.3182
1374,Out before Powell in,0.1347
1375,Fast money guys said to buy this....,0.0955
1376,$ADBE Target Raised by Goldman Sachs Neutral » Sell USD 523 » USD 523 Reiterated by Griffin Securities Buy USD 597 Maintains Wedbush Neutral USD 410 » USD 510,-0.7735
1377,"Once we see the curve peak and flatten on COVID-19. The index selling will subside and you will see more 50+ days up in ADBE stock, and fresh ATH's IMO",0.5073
1378,"Adobe on mad money, saying great things",0.2323
1379,Approaching day low before earning at 405pm. I wouldn’t buy here,-0.14
1380,Some time ago sold some $ADBE at $501 and bought $AMC at $5.60 and $7.20. It is close to 11 now. It is equivalent to $ADBE at $900. Think about it.,0.3108
1381,ADBE AT 340 BY FRIDAY.,0.2552
1382,Might tank to $260 today if CC is so so,0.0214
1383,I bought some VIX calls. I see bad things happening soon. I'm shopping for more puts then calls at this point.,-0.144
1384,what prob adobe facing now..the stock cannot move even market is green,0.2171
1385,"It will gap much higher than 177 at the open, Darius, you're toast.",-0.5632
1386,"WOW! I missed this, Adobe revenues accelerated Q/Q! 25% up from 23%, Awesome!",0.882
1387,I hope every long is enjoying the ADBE ride!!!,0.9085
1388,No matter the earning this puppy has been pumped up waaaaay too too fast.,-0.0873
1389,"Long 190 shares of ADBE at $305.80. This is an Earnings play, I am expecting a very good earnings report, to be followed by a nice move up in stock price. Looking to make back all the $ I lost on LULE, and more, and start a new winning streak. In just a few minutes, we should have an idea whether or not this play is very smart, or incredibly stupid. I hope it is the former! Best of luck to all...",0.9852
1390,it'll break through.. higher highs,-0.08
1391,In October Adobe and Gopro entered a collaboration. Any new news about that?,0.4392
1392,"tanking as I said it would. don't believe me then go back and read. now read this. dump this pig, it ain't worth $450 or $400. listeners will be thanking me",-0.7358
1393,ADBE reached a new All Time High at 248.39,0.3954
1394,If there was gonna be a big drop today it would've happened by now. Steady climb up continues.,0.7741
1395,"Beat and Raise, my two favorite words",0.708
1396,ADBE down 7% over the past month. Not related to their financial performance but the political environment. Going to hold for the long term. Got to get the uncertainty behind us.,-0.1248
1397,530 tomorrow and 600 by year end. This is the stock with very good fundamentals and business models. #growth stocks.,0.6103
1398,because of netflix perhaps..,-0.0206
1399,Was short into earnings will double down tomorrow possibly triple down short. This stock is a pig at this price. Will make the very very very bearish death cross tomorrow or Monday.,-0.9441
1400,Adobe upgrade spam has gotten so bad it made it onto the Bill Maher show.Do we really need weekly upgrades?,-0.6675
1401,ADBE is down 7.87% to 290.41,-0.2462
1402,ADBE stock is rocking today!!!,0.4459
1403,ADBE continues to get killed. Doesn't deserve it and will turn around.,-0.7797
1404,Will be good earning and outlook after market close today. Just buy 500 share at $258.Easy money.,0.6133
1405,That's not great Guidance.,0.6597
