,Recent headlines and conversations for KHC,Polarity
3103,"rate cut, per se, arguably may not affect KHC nor its bonds. share price can be affected in that market enjoys low rates and will rise going forward dragging even basement trending equities with it; namely KHC.",0.2635
3104,We wait......,0.0282
3105,When will the dividend pay into account?,-0.0982
3106,"If a well known brand ketchup is available for $3 and a store brand is available for $2:50, I am still going for the well known brand. Why would I feed my kids an inferior product instead of one that's been around for decades.",0.6114
3107,this stock was $88 June 2015 - how many billions of loss is that? WB paid around $50 PPS . This stock has lost ~$67b in market cap since it began. Wow.,-0.2194
3108,"Went to Walmart to pickup some more goodies and the stock kid was there. So I asked her since i recognized her ""hey just curious, what salad dressing do you replenish more often. And she said without a doubt the Great Value brand"". I grabbed a Great Value Honey Mustard and said sorry, have a good one though"".",0.9801
3109,"This is the tax loss selling I knew was coming. Why, the last 2 days the selloff had been way over the drop in the S&P. Getting ready to buy.",-0.4307
3110,Algebra 101: Dividend becomes 1.60 from 2.50. That is a 36% cut. Shouldn't the shares at least shrink 36%?,-0.6209
3111,"Why Kramer is spending so much time with negativity on KHC with his usual cheap gestures and vulgar comments! This guy is unpredictable, promoting many of his failing worse stocks!",-0.7414
3112,KHT has found the bottom and has beautiful one month chart,0.685
3113,noticed khc products in carts today at Costco..this company will survive recent turmoil..products are selling billions of revenue,0.0495
3114,"Look for Warren to sell JPM and buy more KHC, High yielding stock .",0.5889
3115,"Dividend was good, I will buy more.",0.5583
3116,Reinventing dividends tomorrow,0.0024
3117,This should be 60. Easily.,0.4102
3118,"The investors who bought on May 1, 2017 at $92.20, thinking KHC was a a conservative stock, are down $63.04 per share. If you can buy at these levels and we reach $92.20 again that is about a 218% gain. Along the way cashing a 5% dividend is not bad either. I could see this stock realistically in the mid to upper 40's by the end of 2020.",0.8658
3119,"The Environmental Working Group says that 70% of conventionally grown fruits and vegetables contain up to 230 different pesticides or their breakdown products.12 fruits and vegetables with the highest concentrations of pesticides—the so-called “Dirty Dozen” include nectarines, apples, grapes, peaches, cherries, pears, tomatoes, celery, potatoes and sweet bell peppers.",0.6956
3120,Yesterday KHC soars and gets beaten back down. Today it skids and comes back up. This is gonna be a wild ride on the way to $45 by year end.,0.1454
3121,what is a good entry point for khc? i'm thinking $25?,0.5756
3122,Time for the shorts to cover their losses!,-0.4373
3123,"blow out earnings 80 cents a share. KHC "" THERE CAN ONLY BE ONE""",0.8985
3124,...Trading significantly under book value and a forward PE of 12.8...It's a keeper...,0.5097
3125,KHC was on my buy list but I bought GIS instead. So very glad I did now.,0.7901
3126,Closes 52 week high ahead of earnings,0.1865
3127,closing at highs..strong couple.days..need to break past 33.50 to make headway upward,-0.0938
3128,Mac and cheese please! hot dogs with ketchup oh yes!,0.7947
3129,Another blowout quarter coming up..increase of dividends would be huge,0.6006
3130,Bloomberg reporting khc earnings tomorrow,0.4033
3131,Caveat Emptor. The issues at KHC are just beginning to come to light. This one's going below $20 without a doubt. GLTA,0.177
3132,Cramer is trashing the company on Mad Money,-0.4026
3133,"All bad news baked in.And thats funny, everything happens on friday, when options expired. some options were up 6,600%+.Next week flat, maybe 33... and 2 weeks from now recovery, at least my april 42.",0.6314
3134,great news buffet now majority owner..I think slowly we will see more changes at top..board of directors next..great news,0.6741
3135,"From CFRAWe kept our Buy opinion on 2/11/21 followingstrong Q4 2020 results. KHC’s transformationplan outlined late in 2020 is already taking formas its new organizational structure isoperational and fully staffed. KHC is gaining newend customers during this pandemic and isseeing its market share trends improve. We viewKHC’s 4.5% dividend yield as highly attractive(peer average is 3.4%) and believe shareholderscan see 17%+ total shareholder return over thenext 12 months. KHC’s operating margins haveconsistently been higher than peers, but thedifference now is its top line is also improving.",0.9238
3136,Come on 40,0.0541
3137,I bought 1400 shares at 35.86 just cause it drop so much.....I'm expecting my return today,0.2936
3138,hope they maintain the dividend,0.5289
3139,Best stock ever!!!! loose 10 years worth of dividends in just a month! 3G Capital is the greatest.,0.894
3140,Should I buy or wait for the stock to drop more?,0.1999
3141,nothing on company website..premarket 12 was only guess I saw on third party website,0.7276
3142,"Monday Buffet has an interview with MSNBC and I am almost positive he will not trash KHC, on the contrary he might say it’s a good opportunity to buy.",0.8728
3143,"This is going to rocket from here. Buffet was not wrong, Rising $5 next week. Back to $50 in weeks...",0.5944
3144,Buffett buying back shares and talking about taking Kraft private with a price of $80 per share.....,0.8569
3145,It's still time for averaging down for those who need it. I'm serious,-0.1001
3146,The Kraft Heinz Co Free Cash Flow Per Share : $2.36 (TTM As of Sep. 2019),0.7213
3147,"KHC should be leading the market, what has this management done to this company. I personally think a group of 5th graders could do a better job.",0.8382
3148,Kraft Heinz is rebounding .... cover yor shortshttps://seekingalpha.com/article/4301763-kraft-heinz-bears-will-ketchup,0.1883
3149,KHC cant make their products fast enough,-0.0361
3150,look for a nice bounce today..... as i sold..... it never failsgood luck to all,0.7033
3151,Let’s pray KHC not be falling,0.2288
3152,"Amazing numbers from Kraft Heinz. 80 cents! solid net sales growth of 3.8 percent and Organic Net Sales(1) growth of 7.4 percent versus the year-ago period due to strong retail performance across all business segments.We are now starting to realize the benefits of agility and scale, while implementing changes across the Company to further drive agility, both internally and how we go to market. We believe this will be the key to returning the Company to sustainable long-term growth and profitabilityhttp://ir.kraftheinzcompany.com/static-files/6e662dea-eff2-4c28-b18f-6b0f728eb21d",0.9679
3153,Best of breed margin wise. Should hit 80+ in a couple of yrs imo. Outside of the U.S. lots of room to expand.,0.9168
3154,3g board member resigning is great news...now buffet board members will have even more control over future,0.6651
3155,NAS:KHC's Gross Margin % is ranked higher than62% of the 1596 Companiesin the Consumer Packaged Goods industry.( Industry Median: 26.76 vs. NAS:KHC: 32.62 ),-0.3919
3156,If this was Tesla it would be up.....,0.1059
3157,Let’s eat more Oscar Meyers hotdogs with extra Heinz ketchup and krafts sour Krause. Cheers,0.6375
3158,Goldman can eat sh6t,0.0608
3159,The stock market is a device for transferring money from the impatient to the patient. – Warren Buffett,0.5775
3160,Khc is grounded for 4 years. Afterwards they can come out and play with Pep Gis cpb Tyson hain kellogs,0.5532
3161,DEBT WAS REDUCED BY ALMOST 3 BILLION. BOYS...THE TURNAROUND IS ON. PATRICIO IS A STUD !!!!,-0.3861
3162,KHC reached a new All Time Low at 60.80,-0.0981
3163,HI!!!! I'M JOHN KERRY I WAS IN VIETNAM,-0.3817
3164,This thing yields almost 6% at these levels. I can wait a bit for the turnaround which eventually will come. Great buy at these levels.,0.737
3165,probably wanted to enter 29.62 and put in 26.92.. talk about an expensive typo,0.1295
3166,kraft Heinz will cut div it will down to 10 or less opinions please,-0.3568
3167,Since dumping young kid finance director from 3g and bringing back old experienced fianance guy he has made one good move after another this company is now on a path to better times ahead,0.8846
3168,5% drop on huge consolidation share dumpVERY BULLISH,0.7342
3169,Someone said several days ago this stock would be at 26 or lower. I'm happy that was pure unadulterated BS.,0.6099
