,Recent headlines and conversations for PCG,Polarity
2685,"* PG&E(PCG) - DEBTORS & OFFICIAL COMMITTEE OF TORT CLAIMANTS AGREED PERCENTAGE OWNERSHIP OF FIRE VICTIM TRUST WILL BE 22.19% OF OUTSTANDING SHARES OF CO* PG&E CORP(PCG) - ON JUNE 11, DEBTORS AND TCC AGREED ON A FORM OF REGISTRATION RIGHTS AGREEMENT TO BE ENTERED INTO BETWEEN CORPORATION AND FIRE VICTIM TRUST",0.944
2686,"crazy to think some people on this board thought there was no driving factors to get this back to 9.50 and towards 10. PCG will be volatile there will be selling, the book value is tough to access but, it's trading way below peers in terms of forward earnings, the debt is tough to price in.",-0.704
2687,"04:46 PM EST, 01/24/2019 (MT Newswires) -- Pacific Gas & Electric Co (PCG) fell more than 4.5% in after-hours, giving back some of the day's 74.5% advance after CALFIRE said the company did not cause the 2017 Tubbs wildfire.The company reminded after the markets closed ""PG&E still faces extensive litigation, significant potential liabilities and a deteriorating financial situation, which was further impaired by the recent credit agency downgrades to below investment grade. Resolving the legal liabilities and financial challenges stemming from the 2017 and 2018 wildfires will be enormously complex and will require us to address multiple stakeholder interests, including thousands of wildfire victims and others who have already made claims and likely thousands of others we expect to make claims.""Price: 13.34, Change: -0.74, Percent Change: -5.26",0.7881
2688,Bought some shares today at 8.90. Couldn’t pass up an safe short term trade 5-10% trade. Maybe get lucky and pop to 11 where it should be trading in the first place!,0.8387
2689,This will be under $12.00 soon -bk is inevitable.,-0.4901
2690,6 month LOW just reached today.,-0.14
2691,70 isn’t coming back for decades 60 isn’t coming back for years 50 isn’t coming back for months And Zero is a real possibility,0.2843
2692,Let’s not forget that we’re working on a big project with Tesla too. This baby is a goldmine.,0.344
2693,They would have already filed for BK if it wasnt for that CA rule to notify employees two weeks in advance.This is already a BK company walking.,-0.265
2694,"https://www.theverge.com/2021/3/26/22352090/bmw-pge-ev-california-vehicle-grid-chargingBMW and PG&E think electric vehicles could stabilize California gridAs blackouts become more common during California’s fire season, utility PG&E is looking to electric vehicles as one potential backup plan for the state’s stressed-out grid. It’s been working with carmaker BMW to test whether electric vehicles could provide power when there’s an outage or not enough energy to meet demand.Theoretically, a network of EV batteries could one day provide a backup source of energy for communities called a “virtual power plant.” But first, automakers and utilities will need to see if it’s worth it to work with each other. Then, they’ll need to get their customers on board, too. BMW and PG&E’s partnership is a sort of test run for that.The two companies started working together in 2015. Until now, the pair has mostly focused on increasing the amount of renewable energy used to charge EV batteries. It’s a strategy called “smart-charging” that encourages EV owners to charge their cars during times of the day when there is less electricity demand and more available renewable energy, like solar power. Starting this week, they’re expanding the program, and PG&E customers who drive electric or hybrid BMWs can apply for a 24-month “smart-charging” pilot program and earn cash incentives when they charge their cars during recommended hours.The cars won’t be selling energy back to the grid, but the program could give PG&E some early insight into when and where drivers charge their cars, according to Adam Langton, an energy services manager at BMW of North America. That’ll be key for getting drivers on board for vehicle-to-grid charging.The two companies also said they would begin testing hardware in a lab this year. BMW needs to know how often PG&E might ask drivers to connect to the grid and what toll that might take on the car. PG&E needs to know how much energy a car battery can provide and for how long. They’re also figuring out what additional infrastructure might be needed at someone’s home and across the grid to make all of this happen.PG&E, which is based in San Francisco, serves a territory that’s a fertile testing ground for vehicle-to-grid technology. It’s already home to more than 320,000 electric vehicles. That’s roughly 20 percent of all electric cars in the US, according to the utility. By 2030, 5 million EVs are expected to be on the road in California. (Last year, California became the first state to ban the future sale of internal combustion engines.)",0.9982
2695,The only reason the radical wants control of PGE is to shore up a failing public pension system running a 140 billion deficit and rising with an aging population.,0.3348
2696,I hear Bondholders are on board with the amended plan (which doesn’t require Newsom’s blessings). is this the main reason for the price rise!,0.5278
2697,Out . . . at least I'll get a decent tax write off.,0.3175
2698,"Honestly, I wouldn't be surprised if we saw red today. It's healthy.",0.5656
2699,Where are other message boards that might post info on PCG?,0.4417
2700,Cool. Getting ready for another short. I am thinking of shorting around $21. Thoughts?,0.1393
2701,"PG&E Says Agrees To $973M Sale OfTransmission Tower Wireless Licenses To SBA Communications CorporationToday 5:00 PM ET (Benzinga)PrintAs Part of Its Focus on Financial Health and Customer Affordability, PG&E Agrees to $973 Million Sale of Transmission Tower Wireless Licenses to SBA Communications CorporationPG&E and SBA Communications Corporation Also Enter into Strategic Relationship to Market and Sublicense Additional Wireless Attachment Locations on Electric Transmission AssetsAgreement Will Further Strengthen PG&E's Balance Sheet and Portion of Proceeds Will Benefit Electric CustomersToday, Pacific Gas and Electric Company (PG&E) announced that it has entered into a definitive agreement with a wholly owned subsidiary of SBA Communications Corporation (NASDAQ:SBAC) (SBA or SBA Communications) to sell its license agreements with wireless providers that attach their equipment to certain electric transmission towers and other utility structures. The arrangement also allows the SBA subsidiary to continue to market and sublicense access to the towers and structures to additional wireless providers and PG&E will receive a portion of that future revenue. The sale of these licenses, which apply to over 700 towers, is expected to generate $973 million in initial proceeds, subject to customary closing adjustments. PG&E is not selling any transmission towers as part of this transaction.PG&E is also entering into a strategic relationship with SBA, through SBA's wholly owned subsidiary, to sublicense and market equipment at additional attachment locations on up to 28,000 transmission towers across PG&E's extensive network. Through this arrangement, PG&E will receive a portion of future revenues from these sublicensed equipment attachment locations.Overall, PG&E expects the proceeds from this agreement to help further reduce its financing needs and strengthen its financial position while also benefiting customers, who will receive a significant portion of the sale proceeds in the form of lower monthly bills as well as a portion of any future revenues from additional attachment locations.""When we emerged from Chapter 11, we made a commitment to achieve financial stability and bolster our overall financial health and we're delivering on that objective. Strategically selling non-core assets like these is one way we're continuing to follow through on that commitment, reduce our financing needs and strengthen our balance sheet,"" said Chris Foster, PG&E Interim Chief Financial Officer.""This transaction adds a significant portfolio of high quality, exclusive locations to our outstanding existing US macro tower portfolio and SBA expects these assets to generate approximately $39.5 million in Tower Cash Flow in their first full year in our portfolio,"" said Jeff Stoops, President and Chief Executive Officer of SBA Communications. ""As 5G network deployments are now a reality, we are excited to use our vast experience and industry leading position in order to facilitate the future additional use of these assets by wireless service providers for the collective benefit of the wireless industry, PG&E and SBA. We are also particularly pleased about the opportunity to work closely with PG&E over the coming years to maximize wireless deployments across their extensive network of transmission towers.""",0.9987
