,Recent headlines and conversations for UA,Polarity
2958,John your obviously a short troll that got burned today. Just cover and move on to something else.,-0.3847
2959,I think the CEO really didn’t help himself in interviews about future guidance.,0.6133
2960,Curry 5 releasing today!!! Great. Looking shoe. Curry sold out 4 different color ways in just this quarter alone!!,0.716
2961,$7 down within one week ... really too much,0.0541
2962,"UAA reminds me of TVTY, I missed both cheap. just watching them cheap.In one Month UAA would be at $18? LMAO!",0.8334
2963,Intriguing earnings announcement time. It's before the bell. If poor performance was to be posted it would normally come after the bell. Nice.,0.1898
2964,Adidis is planning to buy UA for $15 billion! This is is bout to POP!!,0.5837
2965,"Gimme short, oh dodo gimme shortOh dodo gimmi short Untilk the morning sight",-0.7787
2966,oh I meant Jim Cramer,0.0967
2967,UAA is up 5.49% to 19.59,0.1818
2968,So much for analysts trying to trash UAA the past 2 days. their motives are well known,0.1574
2969,is UA earning on 26 or 30 of July ??? getting conflicting post ??,-0.5536
2970,"Did this stock get pumped up, was this a pump and dump scheme, I was trying to buy at $21 and it passed me up so I let it go. Now I don't have enough confidence to buy, guess it should wait until it gets to $21",0.4117
2971,What do you think Sam Poser is doing?,0.1653
2972,Great job Kevin Plank for destroying so much shareholder wealth while still making billions. This guy needs to be fired.,0.3208
2973,Looking good for higher prices. Short term target at stoxline: 16.75,0.0213
2974,Might there be some consolidation for this industry in the near future? How about UAA + Reebok or ?,0.7706
2975,"We just got ""planked"".",0.135
2976,"UAA is good at producing overnight bag holders. In fact, even long term holders who held it for nearly 7 years did not have any gains while the market index has more than doubled during the same time. When a company crashes 20% overnight, it means it has serious issues, and not merely a correction. $UAA $UA is likely to go lower. So glad I didn't buy this when a certain investment service was telling me to buy at near all time high in 2017.",0.8954
2977,"CHASERS WILL BURN IN THIS STOCK BUBBLE!The US Stocks are EXTREMELY OVERVALUED and OVERBOUGHT!SELL ALL US Stocks in this TULIP MANIA BUBBLE! The Valuations are ABSURD and IMPOSSIBLE TO JUSTIFY!INFLATION IS SKYROCKETING as the FED continues to PUMP the Price of everything, stocks, oil, gold, home, land, commodities, utilities, food prices and everything!The World Economy is Collapsing, people are starving, but the US Market Makers are too busy in printing money and PUMPING the Stock prices Artificially to make insiders trillionaire without working!Enjoy Free Capital Gains in the US Stock Market while the Corporate Revenues are tanking and the Economy is Collapsing! US Stock Market is a “GET QUICK RICH” Scheme!Dow Jones Industrial Average (^DJI) was 17,000 in 2016, with better economic fundamentals and higher corporate earnings. However, thanks to the Collapsing Economy, Coronavirus Pandemic, Tanking Corporate revenues and earnings, Skyrocketing unemployment, Trade Wars, Record INFLATION levels, and Heavy Stock Dilutions, Dow Jones Industrial Average (^DJI) BUBBLE has almost Doubled! S&P 500 (^GSPC) was at 1600.00 with better fundamentals and higher corporate earnings in 2016. Now it is sitting at ABSURD 3800.00 with TERRIBLE Fundamentals, Collapsing Economy, HEAVIER Corporate and National Debt and way lower corporate revenues and earnings!The World Countries are refusing to accept the US Dollar as international reserve currency due to the HEAVY Dollar PRINTING!US Stocks are INSANELY OVERVALUED and OVERBOUGHT! US Stock Market is a MEGA BUBBLE right now!!!https://www.reuters.com/article/markets-survey-bofa-int/bitcoin-us-tech-stocks-seen-as-biggest-market-bubbles-investor-surveys-idUSKBN29O0UE$AMD $NVDA $AMZN $AAPL $SQ $SHOP $SNAP $TWLO $CRM $ROKU $ADBE $DB $BAC $JPM $MS $GS $TWTR $TSLA $IBM $INTC $MSFT $GOOG $LMT $BA $TXN $NXPI $LRCX $NKE $DIS $EBAY $X $MA $V $S $T $F $GM $NFLX $CSCO $CAT $MMM $SBUX $TGT $WMT $ATVI $EA $TTWO $MCD $AVGO $JNJ $BIDU $BZUN $BABA $MU $AMAT $QCOM $WFC $BBBY $PFE $GE $WDC $BLK $KO $UA $ABBV $GILD $BB $ORCL $RH $KEM $IQ $GRPN $PYPL $MA $MOMO $JD $WBA $CVS $FB $W $BBY $SKX $FL $EFX $ETSY $W $UNH $SAP $GPRO $KHC $DPZ $PEP $LYFT $UBER $BYND $ZM $OLED $XOM $CVX $DAL $UAL $AAL $LUV $SAVE $AXP $SPCE $NCLH $CCL $NKLA $NIO $ZM $XPEV $QS",-0.9898
2978,They had some interesting insights about UAA on (http://Thetraderguide.com). Definitely made me think twice about the company.,0.7648
2979,"$3.5B by EOY. Giving up on contracts, layoffs by end of July/early Aug. Big thing to look out for...back to school campaigns normally hit around July 4th. Realize this is not your normal year, but much of the ordering and production of product is done 6-12 months before it shows up at retail. The BTS time frame is huge for sporting goods/lifestyle brands; if no or little campaign from UAA over next 3 weeks, much bigger issues ahead.",0.7387
2980,"Kevin Plank - if you are reading messages from your sucker investors, let me say that ""YOU SUCK THE BIG ONE!!!!""You single handedly destroyed over $10 billion of shareholder wealth with your stupidity and failed leadership. Under Armor market cap is now just over $4 Billion.And for all of you out there who were debating either to buy NIKE or UA as an investment, well, if you are reading this message, you picked the wrong horse. NIKE is jumping and breaking out. If you have money from UA that is at a profit (highly doubt it), I would switch it out to NIKE. NIKE now has almost $100 Billion market cap. They could buy UA 25x over. They could and are squashing UA like the cockroach they are. Kevin Plank is the King #$%$ Roach.",-0.8408
2981,"Sell AH, it will crash to $8 at open",-0.0904
2982,they got great signing. the kid is gobba be an awsome player for dallas years to come,0.6703
2983,how many times have I told this board ITS NOT ABOUT EARNINGS ....LOSS OR PROFIT !!!! ITS ABOUT PSYCH AND EMOTIONAL Purchases ... great earning report and stock goes down...there is your proof,0.9721
2984,"Don't listen to shorts like any company including the great amazon, companies have to lose money to gain market share and refuel the image",0.8664
2985,Lets get our torches lit and meet at company headquarters. Kevin is walking the Plank!!!,-0.2232
2986,Who is still laughing at Motley Fool? I'm like 23% since they started posting #fakenews.,0.7914
2987,Time to load up!!!,0.5866
2988,Not looking good:Profit Margin -3.11%Return on Equity (ttm) -8.08%Net Income Avi to Common (ttm) -159.47MDiluted EPS (ttm) -0.36Total Debt (mrq) 779.37M,-0.3881
2989,$25 by August 28th get it now or don't,0.0516
2990,UPGRATED TO $22 TARGET & EXPECTING BREAKEVEN RESULTSBUY!,0.467
2991,"Loving the price action in UA. Now that Plank has a handle on supply chain and inventories the future looks better than ever. Solid brand name that will only get stronger. Steph Curry, The Rick, Jordan Speith. Big names in major categories. Wait until a lebron or tiger switch over.",0.946
2992,I’m always looking for gifts!Thank you panic sellers and emotional shorts!! Shorts are notoriously not doing their homework! They love to short on the first sign of what they think is really bad news - because sometimes it works... NOT THIS TIME!!,0.7549
2993,"They are looking at a 50-60 Million dollar hit 1st Quarter and that won’t be the end of it. I couldn’t stand it any more. The chart looks like a death spiral. I dumped shares. I may buy them back, but I think it’s headed a lot lower, probably to 5$ based on what you can justify for earnings.",-0.2851
2994,"Ill be honest, I'm long but everyone always fighting about how UA is everywhere which it is and that they are doing so well etc... But all these shorts are right.. 7 days in the red..... I'm out as soon as the earnings are announced.",0.7885
2995,"Maybe we're going to have politically ""blue,"" or USA-bashing, companies and ""red,"" or non-political, or pro-USA, companies. So Nike, which applauds protesting the flag by honoring Kaepernick, can be a blue, pro-USA-bashing company. UA can be a red, or pro-USA, or non-political company. I'm fine with that.",0.5694
2996,The $11 - $13 share price was a very rare buying opportunity.,0.7602
2997,"You will soon realize. #Jonathon that you have awakened to that again. Your dream is turning into a nightmare. But then again like UAA, you become accustomed to losing money. I am praying for you bRo.",0.7912
2998,"Robert, US Companies first lower their revenue expectations by 70%, then if is only falls 60% it is said to be good and beat expectations . What?If you know that you will have a $1 Billion Loss, you can Lower the expectations to $1.5 Billion Loss, but Losing $1 Billion instead of $1.5 Billion, and ""beating"" your own useless, worthless and bogus expectations means nothing.",-0.8428
2999,UA is down 15.98% to 15.25,-0.2462
3000,sounds like you need one of my shirts lipsstik.com,0.5686
3001,"Praise little baby Jesus!!!Plank has been an anchor for UAA. I called for his resignation in 2016 after many of his missteps.This fantastic news is 3 years late, but better than never I suppose.Should be good momentum for UAA now that he's exactly where he should've been a long time ago.",0.9673
3002,UA is up 10.70% to 14.59,0.1818
3003,Very invigorating to see this pro-China junk store get kicked to the curb. Trying to sell Chinese junk to my kids for years and years. Hope to see you pro-Chinese losers at zero.,-0.1692
3004,Why is Under Armour trading under two different ticker symbols? $UA and UAA. Which ticker should I buy into?,-0.1815
3005,Under Armour is down 4.95% to 15.09,-0.3011
3006,this is NOT a race Look at Buffet. Relax.,0.7955
3007,please see my posts from yesterday- i hope everyone bought a few shares. if not u can still get in here. buy low sell high.,0.8444
