,Recent headlines and conversations for IBM,Polarity
2602,Red hat problems?,-0.5198
2603,"whevet i see that same group writing negatively on a stock, i know it is an orchestratef operation to acumulating and buying",0.4992
2604,market ia a big slot machine,0.323
2605,IBM oversold and undervalued. IBM is a deal now. you won't see this price again. 130.00 next week.,0.3972
2606,"Here's the $nvda $ibm partnership from 2018... failed to win a supercomputer bid, now replaced by AMD multi years partnership. Ask yourself, isn't IBM seeing the ""glory"" to come of nVidia's ""superior"" roadmap? Well, they've seen both AMD’S and nVidia's as the DOE had chosen, and dumped nVidia's. If you're an nVidia's long, shouldn't you realize what this means? ""IBM and NVIDIA Collaborate to Expand Open Source Machine Learning Tools for Data Scientists""https://nvidianews.nvidia.com/news/ibm-and-nvidia-collaborate-to-expand-open-source-machine-learning-tools-for-data-scientists",0.9385
2607,"Stock is sinking again. It cant hold 140 now lost another 5 dollars per share in the last week. VOTE YOUR SHARES to get new leadership of this company before it becomes the next GE , Kraft Heinz and loses 50% of its value. Stock should be at 180.",0.8989
2608,In the red til 12:30. Then it turned green and volumes started creeping up? Wallstreet so shady. They know what was up,-0.0271
2609,"Seeing how well MSFT, AMZN, FB, AMD, GOOGL are performing really puts the IBM results in their right perspective. IBM is loosing ground very rapidly now. Economies are obviously growing, spending is there. MSFT, AWS, GOOGL will now take such a lead on cloud that it's game over, there is no come back. Sad to see what has become of a once great and proud company.",0.5925
2610,eps estimate $4.69. makes one think analysts in ibm back pocket,0.5121
2611,"It is intriguing that Mr. Krishna should stress the need to encourage a ""growth mindset"" among the employees. Clearly, his comments put the spotlight on one of IBM's core problems: a sluggish, bureaucratically ossified management that looks at its spreadsheet metrics and little else. How indeed can the company revitalize its people to think as entrepreneurs? Certainly the company must go beyond giving the ""employee of the month"" a little trinket. The culture needs to be more ""Red Hat"" and less ""IBM,"" in my opinion. More lateral communication and less vertical, and fewer number crunchers. Added to that, the most innovative work, in R&D especially, has less and less money to work with each year. I wish these guys luck, and there are many great people working for IBM, but I'm beginning to wonder if the rocket will ever leave the pad.",0.94
2612,"Watson, Blockchain, and cloud computing are the new segments of IBM. It's their last chance to turn this company around. Problem is that cloud computing is very competitive. imho",0.5175
2613,I won't be posting anymore because Yahoo Finance has been taking down all my posts.,-0.0056
2614,"gee whiz,, buying stocks is a losing way in this new market, IBM can not hold a gain worth a carp ever,",0.6387
2615,"IBM, the future story of how successive bad top management can dissolve a once great company.",0.7694
2616,SCO vs. IBM - The Lawsuithttps://youtu.be/QbIkueFe8E4,-0.0766
2617,"I view Mr. Warren Buffet having to once again take a major position in IBM. IBM does look a major beneficiary of a very big 2018 based on the transition in over 75% of every sector into blockchain. The discussion has been and will change to the true winner of the paradigm shift blockchain, FB, Amazon, Autonomous vehicles, retail, mobile payment, healthcare and the financial sector ects. soley domestically will drive IBM to $225, with the international revenue over $325+. IBM will retake it place back in Wall Street as a darling in the tech sector...",0.9779
2618,"When zoom like share is trading more than IBM, Cisco, Intel, almost near to Microsoft price, then there is something wrong in market. Careful.",0.5318
2619,IBM is at an inflection point and I expect the company and the stock to begin a long rise in value.,0.6786
2620,Good evening folks. I’m new to this board and I see a lot of not so happy shareholders here and wanted to hear where you all think IBM is heading. I don’t care or interested in any bogus info as only serious investors please respond. We took a position in IBM today and wanted to say hey.,0.9575
2621,IBM: Breaking OUT in the face of market correction with the NEW CEONext target price would be 159$,-0.1984
2622,https://www.cnbc.com/2021/04/20/its-no-nba-top-shot-or-beeple-but-ibm-is-making-patent-nfts.html,0.0
2623,$RHT Market Cap was over $30B in June.... $IBM paid 10% over that... IBM has cash flow to do this and buyback $5.4B in shares until 2020/2021 and then pay off not long after RHT. Margins improving IBM now trading where it was trading 3 years ago and made over $40 a share since for shareholders. $150-$200 price targets set recently. From what I read this is what I get from it all. And on top of that Watson can now create new perfume fragrances for the CEO.,0.9352
2624,What’s going on,0.0273
2625,IBM Selected for Department of Defense Award to Support Advancing the United States Microelectronics Technology Design Capabilities,0.9026
2626,I can’t believe that ride in the last 15 mins!,0.3658
2627,I am considering investing in IBM. Why do you guys think Krishna is a good CEO?,0.669
2628,It was announced yesterday IBM and Oracle have been eliminated from the 10 BILLION Govt cloud contract,-0.5869
2629,"""Management didn't reveal exactly how it will allocate IBM's total debt of $64.7 billion at the end of Q2 between both entities, but it indicated that it was aiming for an investment-grade rating for NewCo while maintaining a better ""single A"" credit rating for IBM. That suggests NewCo will get a pretty heavy debt burden.""Slow or no growth and a pile of debt. NewCo is sounding more and more appealing lol. On the upside, it can merge with or buy some other service / consulting companies out there. For me as an investor, it has little appeal though. Once they split, i will dump the shares. Maybe not right away, but within the first year.",0.9815
2630,Watson knew this was going to happen....,0.0182
2631,Just bought......They've been merciless the past year. Another case of investors not believing what they hear inspite of positive comments by management...,0.7915
2632,Ginni had driven the company into the ground. She has to go!!! Much lower and IBM will get acquired.,-0.3822
2633,Companies generally have a life cycle. Look at the top companies from 1960 and most don’t exist anymore or are a shell of themselves. IBM was king in the 1980s but its time is over and this company will continue to die a slow death.,-0.9316
2634,IBM lost it when they outsourced all their software to India and renamed the company India Business Machines.,-0.2335
2635,IBM: could hit 160$ for Option Expire today,0.2007
2636,I wish I would have buy ibm yesterday,0.5519
2637,Not sure how Ginny can show her face in IBM after seeing the market reaction the last three days. Reality has to be setting in as to how she was viewed,0.1443
2638,"$IBM now has over a 5% dividend, with share buybacks and a plan to be #1 cloud services provider, https://www.tipranks.com/stocks/ibm/price-target = $160 avergage price targets IBM has a lot of assets and cash flow. some PTs as high as $200,,,couple weeks... we are long ways away from home oversold",0.9228
2639,keep the divy checks coming !,0.6026
2640,Stock rallying and I'm collecting the nice div,0.5536
2641,"SERIOUS THOUGHTS - what is common between $ibm $intc and $nvda vs AMD's future ?This is not intended to bash any of the respective long investors in those companies. Just hopefully to start an open mind thought provoking process in a hope all will do whatever is best for them, with my best wishes for such!Let's start with IBM, recent move to spinoff a third of itself into a new company so to focus better on cloud. What happened? Well they have failed growing cloud in past year and realized that they need transform their business completely. Obviously they couldn't find a buyer to take such segment of their revenues which is substential so they split it. I'll not discuss the difficulties and prospects of such it's beyond the scope of this post. But ibm bought Redhat for $34B, and place it at the center of its future of cloud. Obviously cannot beat cloud kings Amazon and Microsoft not even Google. So they're talking about hybrid using OpenShift from Redhat. To me it means they hope Redhat business can scale to replace all future revenues of IBM. All legacy will be sold or spinoff. So more is coming possibly but...can that really happen ? I doubt it but they have no choice failing to gain cloud traction years ago, so now they need think about smaller operation. It's like HP split into HPE and Compaq based consumers HP.If you understand that you can see both Intel and nVidia looking for a different business. We already know Intel clearly stated they don't want to be mostly CPUs focused. They try buying all kind of companies to do something else. Why? They realized after their delays they cannot beat AMD. Too late. Trying GPUs. .won't work. .trying Altera FPGAs. ..trying Mobileye etc. Just like ibm focus on Redhat expansion intel tries to find alternatives. It's yet to be seen what business will emerge but no CPUs which could lead to selling all fabs, just like ibm has done as it moves to other business. Now the best is last. What is nVidia doing? I know you cannot agree all with me. But as I've posted in another post, both gaming and datacenters GPUs are in danger. Not winning any supercomputers in the US and abroad is a clear red flag for once dominant company. So nVidia trying to find completely different businesses. Mellanox isn't enough as the network gets integrated into the chips. See Cray own network and infinity fabric possible expansion with other emerging standards like Gen-Z etc. ARM licensing business is to be nVidia's Redhat. They can shift to it all, adding better GPUs IP but no longer make discrete GPUs as AMD taking over this market as I've explained. There you have it. My thinking. It's clear where AMD is going. What isn't clear is if Intel and nVidia and IBM can find their new niche or a major new revenues segment. HPE bought Cray - expanding HPC as a mainstream product to also help its datacenters offering. AMD is to gain the whole market from Intel and nVidia in GPU's and CPUs. That's my thinking with the obvious impact to come.Good luck all!",0.9987
