,Recent headlines and conversations for UNH,Polarity
1779,UNH continues falling tmr! It’s bc it was priced in too much high expectation right before the earning report!,0.3891
1780,Elizebeth Warren pens you clowns lol,0.5538
1781,this is why invest in chunks and add when opportunities present themselves; has the business changed? Medicare changes would be years away if even possible. I'll be adding.,0.7524
1782,"EBITDA $20B.... And yet, it takes two months for me, a UnitedHealth Inc. (client/patient, ya know the one who makes you that profit!), two months to get a $25 part fixed on my wheelchair. Capitalism unchecked will implode.",-0.1821
1783,"healthcare making billions in profit, this is a sick country",0.3804
1784,$UNH Maintains Barclays Overweight USD 405 » USD 435 Maintains Credit Suisse Outperform USD 415 » USD 430 Maintains Morgan Stanley Overweight USD 462 » USD 515 Target Raised by BMO Capital Markets Market Perform USD 410 » USD 435 Target Raised by Oppenheimer Holdings Outperform USD 375 » USD 440 Target Raised by Deutsche Bank Buy USD 409 » USD 418,-0.9507
1785,UnitedHealth is up 5.48% to 366.49,0.1818
1786,"Does anyone know why this stock is down? I doubt if Amazon is the cause,it's too vague and long term",0.2841
1787,"Again, here they go again, I lost a boat load yesterday, hope it comes back in time.",0.5277
1788,On sale today!,0.3019
1789,270 first then 280 after earning,-0.1175
1790,OptimumRx was the pbm for Cigna and it is now transitioning away from Unh because express scripts was bought out by Cigna. Big loss for Unh.,0.0586
1791,Whoever is responsible for changing that one-year target is getting a workout this week.,0.2068
1792,Hey Eric! How's it feel to have to pay the dividends on the shares you borrowed and sold? lol,0.7227
1793,https://finance.yahoo.com/m/4bedfc60-4503-3390-b467-97d037712d34/unitedhealth%2C-walgreens.html,0.0
1794,"Surprisingly, big boys do not show up yet.",0.555
1795,max pain is $242.50. Will they get there?,-0.5247
1796,Well it looks like the market has decided elizebeth warren is going to win the democrat nomination and then win the presidency and then easily pass Medicare for all and put all hmos out of business. That’s what the market is acting like,0.9519
1797,"News flash - this is ABSOLUTELY NOT a highly shorted stock; there will be no short squeeze here. In fact, with a short ratio around 1, you could say there are effectively no short positions out there. It is something I look at before buying or selling.",-0.4209
1798,Falling knife anyone?,-0.4314
1799,Doing research on new stocks is getting so hard. That’s why I joined up with this free service that sends one solid stock pick every single week. So far the picks have been great. Just go to https://stockdorkalerts.blogspot.com/ to learn more. .,0.9486
1800,Downgrade based on view that Medicare Advantage enrollment will decline... WHA? The crest of the baby boom is just peaking. People don't leave medicare unless they die. Baby boomers are living longer than any other prior generation. Simple demographic analysis tells you that medicare advantage programs will continue to grow which is why many of us are here to begin with. Healthcare IS a growth industry and is pretty much recession proof. This report is pure BS.,0.9077
1801,Might take a nibble if it breaks then holds 250.25,-0.0074
1802,What is going on?Can't be just AMZN...,-0.0503
1803,"I like to buy more of UNH because it wants to cut cost and traders run from it. It is so funny UNH will report the record earnings again next month, I guess UNH will test new high before earnings report.",0.8841
1804,UNH is down -5.86% to 232.90,-0.2462
1805,I think one unimpressed fund with big money wanted to get out but by doing that it triggered a bunch of stops—buy this dip guys. Scarred money dont make money,0.6031
1806,Ok do we get a bounce?,0.369
1807,"had this on my radar this morning. unfortunately merrill lynch site was hosed, no trading possible.",-0.1359
1808,"single payer system is a stupid idea. candidates just use it to get voters to vote for them. in the end, it's not achievable.",0.0014
1809,ALMOST REDDDDDDDDDDDDDDDDDDDD,0.0
1810,"Got my money back - $80.00 from my 4/11 purchase....I'm done. Good luck, Longs....Too much ugliness in the political sector for me...",0.3819
1811,aetna is great!,0.659
1812,tax cut is taking away one big tool to fight recession in the future. chicken blood,-0.6774
1813,just following general healthcare for day. Baselining for earnings in 2 weeks and then to $320.,0.5658
1814,"If someone wants Medicare for All, can I give them mine?",0.3407
1815,I think with aging baby-boomers and AARP support this is a good stock to hold not trade,0.795
1816,"Down $10 in 5 days, what gives?",-0.2474
1817,"Davita is very strong today, beats estimate, so it should help UNH today.",0.8033
1818,$236 today?,0.0783
1819,"Oh look, it can do something besides go down. I was beginning to wonder...",-0.2144
1820,"If you cannot stop the bleeding the victim dies, same applies for a business. Such potential and disappointment.",-0.1749
1821,look at her rising to all time high!Go UNH!!!,0.662
1822,"Is the ranger guy stopped already he’s been ranting for 3 weeks now everyday he is like a insane, crazy and wild. None stop ranting my goodness I never did that kind of ranting. He even predicted the Market today and he’s on point.",0.0399
1823,"As long as folks like Warren and Sanders are still theoretically a possibility, I don't see this coming back until after the election. I only have a token investment at this point.",0.8239
1824,Dividends being reinvested today! Yay!,0.6472
1825,Blowout earnings this will pop tomorrow guaranteed,0.3321
1826,"when will I learn? I have a 94% success rate on my daily trades, making $400-$500 day on small trades. But nearly 100% failure every time I swing for the fences on a big trade.",-0.0808
1827,Wow its still going down on a big up day in the market!,0.6793
1828,Lol that was pathetic. Better to just be down 10.00 than to be up .50 on andow up 275 day. Seriously this stock is useless,0.1995
1829,"Oh wow, this loser stock is up on a red day, can't believe it.",0.267
1830,"Not oversold by any means. Buying Op? Sure as long as your time horizon is very long, or near term with an eye on a few percentage points gain (I fit in the latter). Buy here and sell in the 245-250's range. In other words, buy the dip, sell the rally. I am in for a dollar cost average of 239. One day rallies are not rallies. Wait for a three day rally and sell. Still a bear market overall. An it's not the democrats that are pushing it down, it's both parties with an eye on reducing drug costs (an election issue for Cheatin Don as well as the dems.) OptumRx is the achilles heel here.",0.9873
1831,Sell the rally...,0.0548
1832,i see usa is the man on this board,0.3091
1833,"Guest on cnbc this morning says time to BUY healthcare again at these levels as this cycle comes around with the medicare for all rhetoric. This rhetoric has been going on for many years, bernie isn't the first...and obviously the bill never passes. Just offers buying opportunities.",0.8465
1834,Demetrios the only hater here haha bruh people don’t even know this stock,0.3349
1835,"Earnings: $ 3,90 vs expected $ 3,78",0.0216
1836,"Ori karev.ex ceo.joins precipio.cancer testing.prpo,has record volume 10 days in a row",0.2732
1837,"The stock itself goes down to the toilet, but surprisingly the option premium is so expensive. I don't know why, anybody can explain.",0.3014
1838,"They beat the numbers, raised outlook, but down $5",-0.2649
