,Recent headlines and conversations for DAL,Polarity
2493,"Well, sold at a lower Target than planned but needed to take some money off the table and seems to be slipping as of late.I will definitely buy back at the next bottom. Solid company with great Return on Equity.",0.8954
2494,I will be laughing in 6 months when they will say ohhhh well all airline industry is sinking because of the covid impacts and a big losses..... wait for it,0.794
2495,Bankruptcy againGuarantee!,-0.3164
2496,Buffett not following his own teachings anymore! He ha s always said if the business will be around in 10 years buy it. Then he sells??? Are people going to fly with their hands???? Shocked at buff.,0.7961
2497,I got in at 24. What do you think is a reasonable price to see in the next few months? I am not a Buy and Hold guy. 45?,0.4907
2498,Load up - time has come - people are tired  of staying in cage and watching media and politicians - value rotation in the making $SPG $PLAY $SEAS $CAKE $CNK $CCL $NCLH $DAL $UAL $COTY $M $TWO $BA $OXY $MRO $T - GLTA and enjoy the ride..,0.8706
2499,"Based off of the charts, we are heading to the teens",-0.1081
2500,Careful folks this is just the beginning. It was clear to me this first step is necessary and thank goodness they are taking this pandemic seriously but it may be too little too late and a complete travel shutdown is still possible,-0.026
2501,"Passenger count at 230K yesterday, a 30% increase over the same day of the week in prior week. In one week, passenger count will be over 300K and keep steadily increasing from there, at an average increase of 16-17% daily over prior week",0.7763
2502,TRUMP2020,0.0
2503,"Well let's be realistic, this summer will be dead because people won't start flying immediately. So Q2 will also be BAD for DAL. Q3 will be relatively bad, but better than Q2. Q4 of 2020 and Q1 will be the recovery period of DAL because of JNJ and other pharmagiants who will mass produce the vaccin. So I think this price will half at least because of the money they will burn until Q4 2020. Buffet will save DAL if necessary.",0.7588
2504,just for those whom thinks that airlines will need years to recover. It will probably takes 1 year or so while the market will bake it in well in advance. JMHO: in 7-10 months all airlines stocks will be trading for 75% of their 52 week high. Another question where is the rock bottom. Likely DAL 15-18UAL 18-20LYV 22-23AAL 4-5,0.5113
2505,ual is 5 percent up，we should too,0.2205
2506,"Shorts have to cover driving prices higher, longs NEVER have to sell and most will not until much higher prices.",0.5421
2507,crush the shorts. they r the one responsible for dal to go below 30.,0.2543
2508,I just have one question... Why is BA and DAL moving together for the last week?!?,0.6949
2509,"Just one question: The fact that Buffet sold his airlines was publicly known in early april, check the sec filings. So, why are people surprised by this?",0.7379
2510,"Reminder for the Longs, like Dennis is preaching.. buy the dips! And once it hits intrinsic value, sell covered calls! The premium can generate income and bring down your average. Best of luck to the shorts as well.",0.9353
2511,Delta Air Sees Hitting Breakeven Around Spring of Next Year,0.5689
2512,ost oversold sector left in the market and one that is never going away so the airlines represent the BEST opportunities moving forward from here. FACT!!,0.926
2513,If the market as a whole is doing well tomorrow this will fly.,0.4012
2514,I want to get in but afraid if it get bad earnings I loose money,-0.6371
2515,Delta Air Lines reached a 52 Week low at 42.00,-0.3469
2516,big boom ahead peps are ready to travel anywhere.............,0.4785
2517,Delta will be trading at $7 bucks in a few weeks according to many experts. GLTA!,0.4646
2518,Me and Jimmy are at a impast. Ting’s has got real tensical. He clayming I don’t put out enuff and I told him he don’t not listen. So he say’s whaddya say? Point proveden. Marryage May be off. May be not. May be to sawsage smoker’s just going thru a typeical spat. Sheesh. Whom knower a relaytionship was so complicate. BoOut!,0.7595
2519,"TSA passenger count's positive trend has slowed to about flat, and July 2020 is 27.2% of (72.8% less than) MTD July 2019. Monday Jul 13th (26.7%) was 0.8 points (-8%) lower than last Monday.TSA Passenger Count by month:2020 Mar: 48.3% of 2019 Mar2020 Apr: 4.7% of 2019 Apr2020 May: 9.6% of 2019 May2020 Jun: 18.9% of 2019 Jun2020 Jul: 27.2% of 2019 JulTSA Passenger Count for last 7 days:Mon Jul 13: 26.7% of same day in 2019. -0.8 points (-8%) versus same day last week in 2020.Sun Jul 12: 28.3% of same day in 2019. +2.1 points (+3%) versus same day last week in 2020.Sat Jul 11: 28.4% of same day in 2019. +8.5 points (+41%) versus same day last week in 2020.Fri Jul 10: 26.2% of same day in 2019. -6.7 points (-1%) versus same day last week in 2020.Thu Jul 9: 27.2% of same day in 2019. -9.4 points (-7%) versus same day last week in 2020.Wed Jul 8: 25.1% of same day in 2019. +0.6 points (+1%) versus same day last week in 2020.Tue Jul 7: 25.6% of same day in 2019. +4.3 points (+28%) versus same day last week in 2020.Mon Jul 6: 27.5% of same day in 2019. +2.0 points (+21%) versus same day last week in 2020.$DAL $LUV $UAL $AAL $ALK $SAVE $JBLU",-0.9111
2520,"Good to see Delta Airlines, Microsoft, Coca-Cola, Facebook, Google, American Express, JP Morgan, Apple are expressing their outrage at China for their Genocides, Human Rights Abuses, Kidnappings of innocent foreigners etc. These are Evil companies that are traitors to the USA.",0.2449
2521,"I'm clearly betting on the exact thing I've seen 100's of times and been on the wrong side of 3 or 4 times. This is not ""news"" and they fought it and cried over the terms for a reason. This money will not save the company from massive losses and a disastrous earnings report if/when it ever comes out. Huge spike and then what happens 9 times out of 10???? Huh??? I'll wait.....",-0.4068
2522,"Actually I am glad that Buffet sold all the shares. From now on there will be no supression every time DAL goes up. Don't worry. Last time there was news he sold the shares, the stock went up 10% within 2 days. Woudn't be a surprise to see $28 next week cause no one will push down the price.",0.8834
2523,Quick swab before you get on a plane? OR TSA requirement? https://www.cnbc.com/2020/05/09/fda-issues-emergency-authorization-for-first-antigen-test-to-rapidly-detect-coronavirus.html,-0.1985
2524,70% OF MONEY FROM GOVERNMENT DOES NOT HAVE TO BE REPAID!30% LOW INTEREST LOAN.KABOOM!,0.6216
2525,"Do you really think people don’t want/need to fly again ? Really ? You never know where the bottom is , but it’s a very good price . Be greedy when others are fearful !",-0.3888
2526,airline discussions on cnbcDAL best balance sheet amongst carriers,0.6312
2527,Most states are opening up soon. Monday we go to phase 1 here in Tampa. Beaches and restaurants are opening back up. Here come the tourists. Get in before it's too late. Good day to buy today!,0.7602
